"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"rp_flex","rp",NA,"x1",-0.541,2000,1991,0.95128076343546,0.00173364284011923,0.0479571025508462,0.047855590038214,0.997883264266756,0.00482468500639197,35.9318461418152,800,0,"rp",NA,0.9955
"rp_flex","rp",NA,"grpb",0.258,2000,1991,0.954796584630839,-0.00171797756432929,0.108452589402996,0.109865787699848,1.01303056298269,0.00465591907414363,35.9318461418152,800,0,"rp",NA,0.9955
"rp_flex","rp",NA,"grpc",0.69,2000,1991,0.959819186338523,-0.00594787802137808,0.104261906032157,0.109541458334238,1.050637404427,0.0044011730705889,35.9318461418152,800,0,"rp",NA,0.9955
