"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","n_held","coverage_held","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"mn_J3_thin","multinomial",3,"c1:(Intercept)",0.119,2000,2000,0.952,0.00502218573155011,0.198287623745843,0.195580881123523,0.986349412176176,0.00477995815881269,189,0.936507936507937,119.124223947525,300,120,"glm",2.5,1
"mn_J3_thin","multinomial",3,"c1:x1",-0.541,2000,2000,0.953,-0.0137573366961052,0.118073790326616,0.115336560869759,0.976817637095544,0.00473238840333293,189,0.957671957671958,119.124223947525,300,120,"glm",2.5,1
"mn_J3_thin","multinomial",3,"c1:grpb",0.258,2000,2000,0.949,0.00520318653456447,0.245046834139606,0.240624124018633,0.981951572088242,0.00491929873051028,189,0.962962962962963,119.124223947525,300,120,"glm",2.5,1
"mn_J3_thin","multinomial",3,"c1:grpc",0.69,2000,2000,0.9465,0.0201618718509965,0.247218588155346,0.241629202739432,0.977390917658658,0.00503178646208283,189,0.968253968253968,119.124223947525,300,120,"glm",2.5,1
"mn_J3_thin","multinomial",3,"c2:(Intercept)",0.049,2000,2000,0.9515,0.00853998718083977,0.206023763505439,0.198697746456154,0.964440912423719,0.00480352734977121,189,0.952380952380952,119.124223947525,300,120,"glm",2.5,1
"mn_J3_thin","multinomial",3,"c2:x1",0.653,2000,2000,0.9495,0.019355736594639,0.131171886157992,0.126490327739143,0.96430974230857,0.00489641450451246,189,0.941798941798942,119.124223947525,300,120,"glm",2.5,1
"mn_J3_thin","multinomial",3,"c2:grpb",0.24,2000,2000,0.9515,-0.00503310076661553,0.252521677103114,0.246353155857554,0.97557231000394,0.00480352734977121,189,0.925925925925926,119.124223947525,300,120,"glm",2.5,1
"mn_J3_thin","multinomial",3,"c2:grpc",-0.288,2000,2000,0.9545,-0.0124051968849804,0.263153384316882,0.261339661577128,0.993107735458308,0.00465992220965114,189,0.978835978835979,119.124223947525,300,120,"glm",2.5,1
