"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"mn_J3_rich","multinomial",3,"c1:(Intercept)",0.119,2000,1995,0.948872180451128,0.00367954372766641,0.164115335851158,0.161938432252513,0.986735526041156,0.00493129567162907,163.713021039963,600,60,"glm",10,0.9975
"mn_J3_rich","multinomial",3,"c1:x1",-0.541,2000,1995,0.94937343358396,-0.00603180616368137,0.0782060749491415,0.0768286017645369,0.982386621685075,0.00490835905022197,163.713021039963,600,60,"glm",10,0.9975
"mn_J3_rich","multinomial",3,"c1:grpb",0.258,2000,1995,0.947869674185464,0.003133477552062,0.164157463925634,0.163689368242221,0.997148495887917,0.00497677588585707,163.713021039963,600,60,"glm",10,0.9975
"mn_J3_rich","multinomial",3,"c1:grpc",0.69,2000,1995,0.954887218045113,0.00391320926959349,0.162790358473468,0.163394731248719,1.00371258335517,0.00464680442972472,163.713021039963,600,60,"glm",10,0.9975
"mn_J3_rich","multinomial",3,"c2:(Intercept)",0.049,2000,1995,0.948370927318296,0.002807125591003,0.165585539876257,0.164024983949686,0.990575530159594,0.00495410068042073,163.713021039963,600,60,"glm",10,0.9975
"mn_J3_rich","multinomial",3,"c2:x1",0.653,2000,1995,0.951378446115288,0.00632199607332662,0.0833187874806889,0.0839147601533548,1.00715292061594,0.00481525866192326,163.713021039963,600,60,"glm",10,0.9975
"mn_J3_rich","multinomial",3,"c2:grpb",0.24,2000,1995,0.958897243107769,-0.00412950474152146,0.164332061691043,0.167870431147175,1.02153182659379,0.00444477786393129,163.713021039963,600,60,"glm",10,0.9975
"mn_J3_rich","multinomial",3,"c2:grpc",-0.288,2000,1995,0.952882205513784,-0.00223815778860292,0.177294515434723,0.177880504664591,1.00330517404011,0.00474395581307163,163.713021039963,600,60,"glm",10,0.9975
