"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"aft_weib","weibull",NA,"(Intercept)",0.119,2000,2000,0.9405,-0.00103010712204674,0.0631760438244238,0.0612621329107481,0.969705116088073,0.00528960064655168,13.8272049427032,600,0,"aft",NA,1
"aft_weib","weibull",NA,"x1",-0.541,2000,2000,0.9475,-0.000767002146124462,0.0442569886390157,0.0435867549883124,0.984855868613878,0.00498717104178311,13.8272049427032,600,0,"aft",NA,1
"aft_weib","weibull",NA,"grpb",0.258,2000,2000,0.944,-0.00275139183562162,0.0903601175156934,0.0886398052970605,0.980961598258942,0.00514120608417908,13.8272049427032,600,0,"aft",NA,1
"aft_weib","weibull",NA,"grpc",0.69,2000,2000,0.945,0.000639640074964976,0.102162086371953,0.0991148619972915,0.970172649337178,0.00509779364038993,13.8272049427032,600,0,"aft",NA,1
