"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"ord_mm","ordinal",NA,"x1",-0.541,2000,2000,0.9575,-0.00528937015333042,0.0820250765285984,0.085068065187855,1.0370982727239,0.00451075104611194,81.1917099952698,600,40,"ord",15,1
"ord_mm","ordinal",NA,"grpb",0.258,2000,2000,0.952,-0.00426562902207672,0.194716210836059,0.19500734088205,1.00149515053082,0.00477995815881269,81.1917099952698,600,40,"ord",15,1
"ord_mm","ordinal",NA,"grpc",0.69,2000,2000,0.9505,0.00604738386426318,0.20257571313088,0.1990068341177,0.982382493152697,0.0048502448391808,81.1917099952698,600,40,"ord",15,1
