"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"ord_fixed","ordinal",NA,"x1",-0.541,2000,2000,0.941,-0.00894159649734849,0.0836978672589976,0.0823721130805783,0.984160239420237,0.00526872849936301,12.9574389457703,600,0,"ord",NA,1
"ord_fixed","ordinal",NA,"grpb",0.258,2000,2000,0.952,0.00321630156956021,0.188450851976327,0.188746585048852,1.00156928487944,0.00477995815881269,12.9574389457703,600,0,"ord",NA,1
"ord_fixed","ordinal",NA,"grpc",0.69,2000,2000,0.945,0.00737678678623399,0.193120197823136,0.192570150561413,0.997151788016359,0.00509779364038993,12.9574389457703,600,0,"ord",NA,1
