"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"gauss_smooth","gaussian",NA,"x1",-0.541,2000,2000,0.9515,0.00184751261242799,0.0410494237095794,0.0409684244685865,0.998026787377918,0.00480352734977121,90.8217561244965,600,0,"smooth",NA,1
"gauss_smooth","gaussian",NA,"grpb",0.258,2000,2000,0.956,-6.51274437691862e-05,0.0985205441984258,0.100127082311926,1.01630663052637,0.00458606585212206,90.8217561244965,600,0,"smooth",NA,1
"gauss_smooth","gaussian",NA,"grpc",0.69,2000,2000,0.9415,0.00164382377521666,0.102636595219761,0.100146449890351,0.975738231338652,0.0052477495176504,90.8217561244965,600,0,"smooth",NA,1
