"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"gauss_car1","gaussian",NA,"(Intercept)",0.119,2000,1983,0.942007060010086,0.00312953799512973,0.0846791887868592,0.0828188368563447,0.978030588658601,0.00524871854308734,147.325194835663,360,420,"car",0.857142857142857,0.9915
"gauss_car1","gaussian",NA,"x1",-0.541,2000,1983,0.949571356530509,0.000905116199255707,0.0408297076508543,0.0412535315575955,1.0103802826698,0.00491406717201885,147.325194835663,360,420,"car",0.857142857142857,0.9915
"gauss_car1","gaussian",NA,"grpb",0.258,2000,1983,0.94654563792234,-0.00399613527515336,0.101361305120279,0.100852897929064,0.994984208316851,0.00505127482261665,147.325194835663,360,420,"car",0.857142857142857,0.9915
"gauss_car1","gaussian",NA,"grpc",0.69,2000,1983,0.935955622793747,-0.00389879878916943,0.104575433254392,0.100869594937314,0.964563012537908,0.00549802582065757,147.325194835663,360,420,"car",0.857142857142857,0.9915
