"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","n_held","coverage_held","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"mn_J5_thin","multinomial",5,"c1:(Intercept)",0.119,2000,1907,0.940220241216571,0.0241697918434604,0.322214837693079,0.307025655854205,0.952860079481064,0.00542895861303408,1731,0.939341421143847,467.21203494072,240,160,"glm",1.5,0.9535
"mn_J5_thin","multinomial",5,"c1:x1",-0.541,2000,1907,0.949659150498165,-0.0314890814030231,0.160349717494375,0.158058396067372,0.985710474188497,0.00500689866890537,1731,0.950317735413056,467.21203494072,240,160,"glm",1.5,0.9535
"mn_J5_thin","multinomial",5,"c1:grpb",0.258,2000,1907,0.945988463555323,0.0136347999265996,0.366993857743306,0.35963724816613,0.979954406805574,0.00517619750858767,1731,0.945118428653957,467.21203494072,240,160,"glm",1.5,0.9535
"mn_J5_thin","multinomial",5,"c1:grpc",0.69,2000,1907,0.94441531200839,0.0305259611684651,0.361047753757589,0.35002084809058,0.96945859501341,0.005246670003046,1731,0.943963027151935,467.21203494072,240,160,"glm",1.5,0.9535
"mn_J5_thin","multinomial",5,"c2:(Intercept)",0.049,2000,1907,0.941793392763503,0.00352250491890252,0.339711698499309,0.322675437011106,0.949850824792136,0.00536152846422911,1731,0.940496822645869,467.21203494072,240,160,"glm",1.5,0.9535
"mn_J5_thin","multinomial",5,"c2:x1",0.653,2000,1907,0.95070791819612,0.0412599802471119,0.188079601650925,0.180348661504568,0.958895382175971,0.00495720397510767,1731,0.9526285384171,467.21203494072,240,160,"glm",1.5,0.9535
"mn_J5_thin","multinomial",5,"c2:grpb",0.24,2000,1907,0.945464079706345,0.0113282224645578,0.39142177042263,0.370498472498625,0.946545390407351,0.00519982219510559,1731,0.943963027151935,467.21203494072,240,160,"glm",1.5,0.9535
"mn_J5_thin","multinomial",5,"c2:grpc",-0.288,2000,1907,0.95070791819612,-0.01405709917684,0.420242757829501,0.403089343778058,0.959182130490389,0.00495720397510767,1731,0.952050837666089,467.21203494072,240,160,"glm",1.5,0.9535
"mn_J5_thin","multinomial",5,"c3:(Intercept)",-0.198,2000,1907,0.936549554273728,-0.0207420968314873,0.378187644097703,0.350589633171133,0.927025614513625,0.00558222545586146,1731,0.935875216637782,467.21203494072,240,160,"glm",1.5,0.9535
"mn_J5_thin","multinomial",5,"c3:x1",-0.455,2000,1907,0.940220241216571,-0.0325333234194565,0.204058823771262,0.187078852969832,0.916788843101128,0.00542895861303408,1731,0.939919121894858,467.21203494072,240,160,"glm",1.5,0.9535
"mn_J5_thin","multinomial",5,"c3:grpb",0.068,2000,1907,0.947561615102255,0.0148666966188975,0.426256165788325,0.412399580301076,0.967492351784232,0.00510449798497215,1731,0.948006932409012,467.21203494072,240,160,"glm",1.5,0.9535
"mn_J5_thin","multinomial",5,"c3:grpc",0.008,2000,1907,0.955427372836917,-0.00574436052504897,0.447343543109334,0.424606020198147,0.94917212227286,0.00472560709183483,1731,0.952050837666089,467.21203494072,240,160,"glm",1.5,0.9535
"mn_J5_thin","multinomial",5,"c4:(Intercept)",-0.429,2000,1907,0.947561615102255,-0.0436772642258502,0.413685437083268,0.384404619198264,0.929219606831095,0.00510449798497215,1731,0.944540727902946,467.21203494072,240,160,"glm",1.5,0.9535
"mn_J5_thin","multinomial",5,"c4:x1",0.192,2000,1907,0.9465128474043,0.0107424061561107,0.198117011286562,0.191347263809198,0.965829549752433,0.00515243651553515,1731,0.948006932409012,467.21203494072,240,160,"glm",1.5,0.9535
"mn_J5_thin","multinomial",5,"c4:grpb",0.263,2000,1907,0.951232302045097,0.0112001757085342,0.466323772169813,0.439685120594598,0.942875201383655,0.0049321250139431,1731,0.949740034662045,467.21203494072,240,160,"glm",1.5,0.9535
"mn_J5_thin","multinomial",5,"c4:grpc",0.196,2000,1907,0.949659150498165,0.0118160772434486,0.471721141893344,0.447832274420308,0.94935807333724,0.00500689866890537,1731,0.947429231658001,467.21203494072,240,160,"glm",1.5,0.9535
