"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"mn_J3_ar","multinomial",3,"c1:(Intercept)",0.119,2000,421,0.95249406175772,-0.00332968373702545,0.0825535538736152,0.0839674844790772,1.01712743472712,0.0103672611951681,1100.78206801414,2000,500,"glm",4,0.2105
"mn_J3_ar","multinomial",3,"c1:x1",-0.541,2000,421,0.945368171021378,-0.000180175814361472,0.0417729435769203,0.0416178620528895,0.996287512663664,0.0110759837599005,1100.78206801414,2000,500,"glm",4,0.2105
"mn_J3_ar","multinomial",3,"c1:grpb",0.258,2000,421,0.957244655581948,0.00232293302554376,0.0859924580337482,0.0879672464615603,1.0229646700765,0.00985974383821487,1100.78206801414,2000,500,"glm",4,0.2105
"mn_J3_ar","multinomial",3,"c1:grpc",0.69,2000,421,0.942992874109264,0.000278681999722696,0.0907110522819492,0.0880151668541043,0.970280518635529,0.0112999814483288,1100.78206801414,2000,500,"glm",4,0.2105
"mn_J3_ar","multinomial",3,"c2:(Intercept)",0.049,2000,421,0.95249406175772,-0.000351962022833267,0.0877859942434116,0.0841873204432264,0.959006287606576,0.0103672611951681,1100.78206801414,2000,500,"glm",4,0.2105
"mn_J3_ar","multinomial",3,"c2:x1",0.653,2000,421,0.97624703087886,-0.00323797699942463,0.0433300036267246,0.0455138271954067,1.05039980119769,0.00742160382098784,1100.78206801414,2000,500,"glm",4,0.2105
"mn_J3_ar","multinomial",3,"c2:grpb",0.24,2000,421,0.947743467933492,6.61201505273712e-05,0.092814740030021,0.0900750270969186,0.970481919873759,0.010846125978798,1100.78206801414,2000,500,"glm",4,0.2105
"mn_J3_ar","multinomial",3,"c2:grpc",-0.288,2000,421,0.942992874109264,-0.000643353894486998,0.102785954187251,0.0957001658994952,0.931062679295195,0.0112999814483288,1100.78206801414,2000,500,"glm",4,0.2105
