"regime","fits","intervals","cover_A","cover_C","cover_C3","C_not_A","A_not_C","C3_not_A","A_not_C3"
"rare",8,64,0.875,0.890625,0.890625,1,0,1,0
"flat_re",343,2744,0.945699708454811,0.947157434402332,0.947157434402332,4,0,4,0
"combined",57,456,0.903508771929825,0.910087719298246,0.910087719298246,3,0,3,0
"rank_one",245,1960,0.939795918367347,0.948469387755102,0.948469387755102,17,0,17,0
"slope_zero",270,540,0.948148148148148,0.951851851851852,0.951851851851852,2,0,2,0
"slope_small",223,446,0.939461883408072,0.946188340807175,0.946188340807175,3,0,3,0
"slope_cor1",265,530,0.945283018867925,0.950943396226415,0.950943396226415,3,0,3,0
