"regime","fits","A_C3_median","A_C3_min","B_C3_median","B_C3_min","B_C3_max","refits","C3_refit_median","C3_refit_min","C3_refit_max","gap_decades_min","gap_decades_median","threshold_disagree"
"rare",7,0.993307209119237,0.899870711511736,1,1,1,4,0.999998049142308,0.999880236370778,1.00068481571538,3.143024818118,11.3338009133316,2
"flat_re",338,0.997422695926587,0.921314302738513,1,0.999999993971089,1.00000006176153,338,0.999999866488095,0.978960703239409,1.00450178427253,2.37324310967049,8.2745287128266,24
"combined",57,0.993948301966742,0.546744767134375,1,0.999996995484843,1.00000224905511,34,0.999999790523958,0.999695107610084,1.00015900775215,3.33823235371401,5.66697931803405,4
"rank_one",225,0.988432618514787,0.766695124153074,1,0.999954426508175,1.00003548868841,225,1.00000017184518,0.998219783615979,1.00118023105837,2.73675990650451,11.1130380871644,6
"slope_zero",268,0.981742927730549,0.920612295418237,1,1,1,1,1.00867569740019,1.00706392232937,1.010287472471,2.71091944058585,8.79495553434511,2
"slope_small",223,0.98271081182017,0.878090550324568,1,1,1,2,1.00750649961419,1.00702406506071,1.01428464923472,2.53721857191101,8.02548718031797,1
"slope_cor1",264,0.992207223102334,0.722027753186446,1,1,1,0,NA,NA,NA,2.27099550328988,6.11473761662791,10
