"rep","N","coef","truth","illume","brms","se_illume","sd_brms","t_illume","t_brms","brms_compiled","max_rhat"
1,750,"b_muc2_Intercept",-0.07,0.0306740090370768,0.042735561301182,0.2989747246095,0.322409727241645,1.1157169342041,180.064740180969,TRUE,1.00534315264891
1,750,"b_muc2_x1",1.194,1.20936535832632,1.23429390407283,0.127700332851756,0.128847792530203,1.1157169342041,180.064740180969,TRUE,1.00534315264891
1,750,"b_muc2_grpb",-0.018,-0.163545645699411,-0.175050128388571,0.261526213526791,0.262395862156869,1.1157169342041,180.064740180969,TRUE,1.00534315264891
1,750,"b_muc2_grpc",-0.978,-1.32095884226326,-1.35166089173029,0.274178645468521,0.28060081044236,1.1157169342041,180.064740180969,TRUE,1.00534315264891
1,750,"b_muc3_Intercept",-0.287,0.309564822588482,0.331883139487529,0.299567131850009,0.310038195881323,1.1157169342041,180.064740180969,TRUE,1.00534315264891
1,750,"b_muc3_x1",0.429,0.200068798690339,0.207630134254654,0.107252846640622,0.108532803036043,1.1157169342041,180.064740180969,TRUE,1.00534315264891
1,750,"b_muc3_grpb",-0.756,-1.3424608514124,-1.37250792181699,0.271381892465278,0.277897705282239,1.1157169342041,180.064740180969,TRUE,1.00534315264891
1,750,"b_muc3_grpc",-1.092,-1.05405740838207,-1.0740760648763,0.252171428446708,0.255334763846284,1.1157169342041,180.064740180969,TRUE,1.00534315264891
2,750,"b_muc2_Intercept",-0.07,-0.133856079434974,-0.174438499258835,0.231456903139631,0.2430140830747,0.595157861709595,47.8330950737,FALSE,1.00378809830387
2,750,"b_muc2_x1",1.194,1.09752999371706,1.11335084455657,0.117211319434076,0.118832872643422,0.595157861709595,47.8330950737,FALSE,1.00378809830387
2,750,"b_muc2_grpb",-0.018,-0.218219602922573,-0.205872505421799,0.229248689441968,0.23208800419203,0.595157861709595,47.8330950737,FALSE,1.00378809830387
2,750,"b_muc2_grpc",-0.978,-1.26388752658669,-1.27584866578689,0.263370027195201,0.267475889656565,0.595157861709595,47.8330950737,FALSE,1.00378809830387
2,750,"b_muc3_Intercept",-0.287,-0.791029621719067,-0.822081245976675,0.369716209538076,0.388164975067555,0.595157861709595,47.8330950737,FALSE,1.00378809830387
2,750,"b_muc3_x1",0.429,0.418659874421707,0.392413712634722,0.130095701909947,0.130401429609917,0.595157861709595,47.8330950737,FALSE,1.00378809830387
2,750,"b_muc3_grpb",-0.756,-0.962419841396016,-0.978224769218263,0.290410260740783,0.296970900281317,0.595157861709595,47.8330950737,FALSE,1.00378809830387
2,750,"b_muc3_grpc",-1.092,-0.846528262096021,-0.82405061841679,0.29463360842949,0.301473800830697,0.595157861709595,47.8330950737,FALSE,1.00378809830387
3,750,"b_muc2_Intercept",-0.07,-0.00157968659442884,-0.0427047321884525,0.252065277782278,0.257457232770374,0.420221090316772,44.5041198730469,FALSE,1.00798182520487
3,750,"b_muc2_x1",1.194,1.19513473883368,1.21456882658655,0.12120413182075,0.120108336036443,0.420221090316772,44.5041198730469,FALSE,1.00798182520487
3,750,"b_muc2_grpb",-0.018,-0.177525448375101,-0.156056181322619,0.238432167197576,0.23533466277959,0.420221090316772,44.5041198730469,FALSE,1.00798182520487
3,750,"b_muc2_grpc",-0.978,-0.982859430629843,-0.971831946822397,0.253328800565407,0.249070784788379,0.420221090316772,44.5041198730469,FALSE,1.00798182520487
3,750,"b_muc3_Intercept",-0.287,-0.542133051649495,-0.590618837997032,0.357022575709809,0.374036818426901,0.420221090316772,44.5041198730469,FALSE,1.00798182520487
3,750,"b_muc3_x1",0.429,0.512950125851508,0.499958618653774,0.127439506799329,0.126659734607497,0.420221090316772,44.5041198730469,FALSE,1.00798182520487
3,750,"b_muc3_grpb",-0.756,-0.656735991395878,-0.652862468852877,0.287733884217427,0.288563463156443,0.420221090316772,44.5041198730469,FALSE,1.00798182520487
3,750,"b_muc3_grpc",-1.092,-0.805938342113353,-0.787961492194054,0.286009337768255,0.282958515468179,0.420221090316772,44.5041198730469,FALSE,1.00798182520487
