"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","obs_per_latent","conv_rate"
"gauss_mm","gaussian",NA,"(Intercept)",0.119,2000,2000,0.9435,-0.000353818321640081,0.132283056508291,0.128164428281517,0.968865035814195,0.00516273909857936,38.7287430763245,600,30,20,1
"gauss_mm","gaussian",NA,"x1",-0.541,2000,2000,0.952,0.00104832999282034,0.0412511982265545,0.0418058312900648,1.01344525946772,0.00477995815881269,38.7287430763245,600,30,20,1
"gauss_mm","gaussian",NA,"grpb",0.258,2000,2000,0.951,-0.00142275315184315,0.104128252981745,0.10216942351955,0.981188299946425,0.00482695556225661,38.7287430763245,600,30,20,1
"gauss_mm","gaussian",NA,"grpc",0.69,2000,2000,0.955,0.000954880160547456,0.100551894241769,0.102178144529622,1.01617324367797,0.00463546114210873,38.7287430763245,600,30,20,1
