"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","obs_per_latent","conv_rate"
"mn_J5_rich","multinomial",5,"c1:(Intercept)",0.119,2000,1658,0.955971049457177,0.00342439708663557,0.198547749418164,0.201787543854498,1.01631745736645,0.00503847692589363,305.359867095947,600,120,5,0.829
"mn_J5_rich","multinomial",5,"c1:x1",-0.541,2000,1658,0.951145958986731,-0.0090522438434214,0.0947372759480856,0.0940549233844919,0.992797422590368,0.00529397110782029,305.359867095947,600,120,5,0.829
"mn_J5_rich","multinomial",5,"c1:grpb",0.258,2000,1658,0.942098914354644,0.00913974282220303,0.218754267068054,0.214655358601876,0.981262498230935,0.00573587055758273,305.359867095947,600,120,5,0.829
"mn_J5_rich","multinomial",5,"c1:grpc",0.69,2000,1658,0.952352231604343,0.0120210719225982,0.211689837622976,0.208929031937924,0.986958251203492,0.00523151917328197,305.359867095947,600,120,5,0.829
"mn_J5_rich","multinomial",5,"c2:(Intercept)",0.049,2000,1658,0.947527141133896,0.00138339991496049,0.20979756894665,0.20787575091543,0.990839655383671,0.00547609444247413,305.359867095947,600,120,5,0.829
"mn_J5_rich","multinomial",5,"c2:x1",0.653,2000,1658,0.949336550060314,0.0114505142883976,0.109710318138539,0.106332485925232,0.969211353402135,0.00538598596927392,305.359867095947,600,120,5,0.829
"mn_J5_rich","multinomial",5,"c2:grpb",0.24,2000,1658,0.951145958986731,0.00201441593791854,0.219908184882936,0.22077756943018,1.00395339785878,0.00529397110782029,305.359867095947,600,120,5,0.829
"mn_J5_rich","multinomial",5,"c2:grpc",-0.288,2000,1658,0.947527141133896,-0.00175322343130729,0.242284752636088,0.239596944797362,0.988906409464554,0.00547609444247413,305.359867095947,600,120,5,0.829
"mn_J5_rich","multinomial",5,"c3:(Intercept)",-0.198,2000,1658,0.944511459589867,0.000304165335403284,0.23071017269949,0.221098885479405,0.958340427265843,0.00562228689660173,305.359867095947,600,120,5,0.829
"mn_J5_rich","multinomial",5,"c3:x1",-0.455,2000,1658,0.944511459589867,-0.00815940030089329,0.114871866311984,0.111170945454836,0.967782182217739,0.00562228689660173,305.359867095947,600,120,5,0.829
"mn_J5_rich","multinomial",5,"c3:grpb",0.068,2000,1658,0.958986731001206,-0.00664173484713981,0.245516360029154,0.244630897302375,0.996393467520155,0.00487053007253529,305.359867095947,600,120,5,0.829
"mn_J5_rich","multinomial",5,"c3:grpc",0.008,2000,1658,0.948130277442702,-0.00111123177295389,0.258853966817853,0.251301339823605,0.970822826912431,0.00544626422350548,305.359867095947,600,120,5,0.829
"mn_J5_rich","multinomial",5,"c4:(Intercept)",-0.429,2000,1658,0.944511459589867,-0.0146586221969285,0.250519495135238,0.238298684212437,0.951218124097671,0.00562228689660173,305.359867095947,600,120,5,0.829
"mn_J5_rich","multinomial",5,"c4:x1",0.192,2000,1658,0.943305186972256,0.000476501794898165,0.118414989006818,0.114333406312347,0.965531536769923,0.00567943994776965,305.359867095947,600,120,5,0.829
"mn_J5_rich","multinomial",5,"c4:grpb",0.263,2000,1658,0.94692400482509,0.0143816315557147,0.265722112563032,0.260347820468533,0.979774765288964,0.00550572319351932,305.359867095947,600,120,5,0.829
"mn_J5_rich","multinomial",5,"c4:grpc",0.196,2000,1658,0.949336550060314,0.00221901315669529,0.272354614355481,0.265856191945275,0.976139848316566,0.00538598596927392,305.359867095947,600,120,5,0.829
