"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","obs_per_latent","conv_rate"
"binom_mm","binomial",NA,"(Intercept)",0.119,2000,2000,0.9505,-0.00368696115484453,0.187010452023919,0.187118486777879,1.00057769366787,0.0048502448391808,53.0527980327606,600,30,20,1
"binom_mm","binomial",NA,"x1",-0.541,2000,2000,0.9555,-0.00305257510405421,0.0984693182822778,0.0973433379410276,0.988565165668942,0.00461084319837489,53.0527980327606,600,30,20,1
"binom_mm","binomial",NA,"grpb",0.258,2000,2000,0.954,-0.00241698151691744,0.216943595748639,0.220059130054651,1.01436103377591,0.00468422885862764,53.0527980327606,600,30,20,1
"binom_mm","binomial",NA,"grpc",0.69,2000,2000,0.9535,0.0140518294767129,0.224856323171459,0.22617038407016,1.00584400242861,0.00470838348055891,53.0527980327606,600,30,20,1
