"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","obs_per_latent","conv_rate"
"mn_J5_vrich","multinomial",5,"c1:(Intercept)",0.119,2000,1963,0.943453897096281,0.00190477975148981,0.16038305446029,0.15999389048684,0.997573534344013,0.00521316572411637,582.273310184479,1200,120,10,0.9815
"mn_J5_vrich","multinomial",5,"c1:x1",-0.541,2000,1963,0.947529291900153,-0.00506994742660838,0.0663649303752757,0.0653489487600222,0.984690986496808,0.00503262574615274,582.273310184479,1200,120,10,0.9815
"mn_J5_vrich","multinomial",5,"c1:grpb",0.258,2000,1963,0.940906775343861,0.00360044122949055,0.154159877224805,0.149774404999118,0.971552440851446,0.00532208728505356,582.273310184479,1200,120,10,0.9815
"mn_J5_vrich","multinomial",5,"c1:grpc",0.69,2000,1963,0.946510443199185,0.00723318328824618,0.145043083488088,0.145444836460925,1.00276988714784,0.00507851868858774,582.273310184479,1200,120,10,0.9815
"mn_J5_vrich","multinomial",5,"c2:(Intercept)",0.049,2000,1963,0.938869077941926,0.00221955791337054,0.168370459624107,0.163937570860827,0.973671814086771,0.00540720507730572,582.273310184479,1200,120,10,0.9815
"mn_J5_vrich","multinomial",5,"c2:x1",0.653,2000,1963,0.946510443199185,0.00440636372097214,0.0741839713290662,0.0737880837709404,0.994663435361668,0.00507851868858774,582.273310184479,1200,120,10,0.9815
"mn_J5_vrich","multinomial",5,"c2:grpb",0.24,2000,1963,0.952623535404992,0.00469769091837008,0.153558644897183,0.153844083151644,1.00185882243655,0.00479492510619957,582.273310184479,1200,120,10,0.9815
"mn_J5_vrich","multinomial",5,"c2:grpc",-0.288,2000,1963,0.948548140601121,0.00232887788248559,0.169465788725839,0.166670917868326,0.983507757651106,0.00498620437935751,582.273310184479,1200,120,10,0.9815
"mn_J5_vrich","multinomial",5,"c3:(Intercept)",-0.198,2000,1963,0.943963321446765,-0.000624680965420343,0.175853494735723,0.171346148397174,0.97436874174538,0.00519103076590877,582.273310184479,1200,120,10,0.9815
"mn_J5_vrich","multinomial",5,"c3:x1",-0.455,2000,1963,0.953132959755476,-0.00256961512566573,0.076758737702468,0.0772597624195428,1.00652726623797,0.00477035124868001,582.273310184479,1200,120,10,0.9815
"mn_J5_vrich","multinomial",5,"c3:grpb",0.068,2000,1963,0.954661232806928,0.00104049673088161,0.169159873767353,0.170416002599965,1.00742569029307,0.00469568923514034,582.273310184479,1200,120,10,0.9815
"mn_J5_vrich","multinomial",5,"c3:grpc",0.008,2000,1963,0.949566989302089,-0.000103344173989221,0.179023268908918,0.174975446385039,0.977389405586496,0.00493923968906032,582.273310184479,1200,120,10,0.9815
"mn_J5_vrich","multinomial",5,"c4:(Intercept)",-0.429,2000,1963,0.943963321446765,-0.00603467494484,0.18872933182447,0.181209742361555,0.960156752582009,0.00519103076590877,582.273310184479,1200,120,10,0.9815
"mn_J5_vrich","multinomial",5,"c4:x1",0.192,2000,1963,0.952114111054508,0.00195579386250752,0.0803292348554321,0.0796758654103922,0.991866355428186,0.00481934623239377,582.273310184479,1200,120,10,0.9815
"mn_J5_vrich","multinomial",5,"c4:grpb",0.263,2000,1963,0.954151808456444,7.27483555912345e-05,0.182873851022422,0.181657959382116,0.9933512001114,0.00472073578430925,582.273310184479,1200,120,10,0.9815
"mn_J5_vrich","multinomial",5,"c4:grpc",0.196,2000,1963,0.940906775343861,0.00149779886737142,0.190119939793323,0.184791654966678,0.971974087344877,0.00532208728505356,582.273310184479,1200,120,10,0.9815
