"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","obs_per_latent","conv_rate"
"mn_J3_thin","multinomial",3,"c1:(Intercept)",0.119,2000,1902,0.952681388012618,0.00463487766160657,0.198803121047144,0.196316647566582,0.987492784482128,0.00486838126532511,73.4737980365753,300,120,2.5,0.951
"mn_J3_thin","multinomial",3,"c1:x1",-0.541,2000,1902,0.952155625657203,-0.0144076963671351,0.1188724256894,0.115698564169628,0.973300271266738,0.00489400211177998,73.4737980365753,300,120,2.5,0.951
"mn_J3_thin","multinomial",3,"c1:grpb",0.258,2000,1902,0.94794952681388,0.00700748725085693,0.245328624682778,0.24109918028073,0.982760085956065,0.00509330509557852,73.4737980365753,300,120,2.5,0.951
"mn_J3_thin","multinomial",3,"c1:grpc",0.69,2000,1902,0.944794952681388,0.0211961830080545,0.249114005778401,0.242225829700416,0.972349302254359,0.00523664241674197,73.4737980365753,300,120,2.5,0.951
"mn_J3_thin","multinomial",3,"c2:(Intercept)",0.049,2000,1902,0.952681388012618,0.00782367600742923,0.206572698851276,0.199673314171351,0.966600694485324,0.00486838126532511,73.4737980365753,300,120,2.5,0.951
"mn_J3_thin","multinomial",3,"c2:x1",0.653,2000,1902,0.950052576235542,0.0202177280677751,0.131509696800844,0.126972172356184,0.965496654961257,0.00499488058756079,73.4737980365753,300,120,2.5,0.951
"mn_J3_thin","multinomial",3,"c2:grpb",0.24,2000,1902,0.953207150368034,-0.00484187634143093,0.252592882851922,0.247018626042141,0.977931853238128,0.00484259485711981,73.4737980365753,300,120,2.5,0.951
"mn_J3_thin","multinomial",3,"c2:grpc",-0.288,2000,1902,0.953732912723449,-0.0123485386505074,0.263044810827023,0.262048955036333,0.996214121131837,0.00481664022810621,73.4737980365753,300,120,2.5,0.951
