"regime","sd_re","re_dist","unbal","rare","coef","truth","nrep","fit_illume","fit_mclogit","conv_illume","conv_mclogit","n_illume","n_mclogit","degenerate","rare_share","n_obs","bias_illume","bias_mclogit","sd_illume","sd_mclogit","cover_illume","cover_mclogit","mean_se_illume","mean_se_mclogit","att_illume","att_mclogit","resd_illume","resd_mclogit","t_illume","t_mclogit","rmse_illume","rmse_mclogit"
"clean",1,"gauss",FALSE,FALSE,"c2~(Intercept)",-0.07,400,1,1,1,1,400,400,0,0.259265625,480,-0.00764504414758278,-0.0326920549423413,0.319716310358004,0.263656177838173,0.96,0.9625,0.326126560928787,0.282741649399414,1.01092412438718,0.864273466407746,0.931139518545057,1.1656933326802,0.373684525489807,2.60765743255615,0.31980770129713,0.2656752727835
"clean",1,"gauss",FALSE,FALSE,"c2~x1",1.194,400,1,1,1,1,400,400,0,0.259265625,480,0.0187165780142591,-0.111685194489586,0.176187606790956,0.145841488413869,0.95,0.89,0.171442560051281,0.151129188598305,1.01092412438718,0.864273466407746,0.931139518545057,1.1656933326802,0.373684525489807,2.60765743255615,0.177178957777972,0.183693555714264
"clean",1,"gauss",FALSE,FALSE,"c2~grpb",-0.018,400,1,1,1,1,400,400,0,0.259265625,480,-0.0025481226337833,0.0103026230270244,0.33981438331521,0.303916245263275,0.9525,0.9675,0.343058236858969,0.321356082418371,1.01092412438718,0.864273466407746,0.931139518545057,1.1656933326802,0.373684525489807,2.60765743255615,0.339823936821485,0.30409082224915
"clean",1,"gauss",FALSE,FALSE,"c2~grpc",-0.978,400,1,1,1,1,400,400,0,0.259265625,480,-3.09929084251204e-05,0.116679135138532,0.368833822075431,0.326335997000514,0.93,0.93,0.35613794405485,0.331273464779922,1.01092412438718,0.864273466407746,0.931139518545057,1.1656933326802,0.373684525489807,2.60765743255615,0.368833823377589,0.34656774736694
"clean",1,"gauss",FALSE,FALSE,"c3~(Intercept)",-0.287,400,1,1,1,1,400,400,0,0.259265625,480,-0.0109626408780885,0.197753089456812,0.427591645686907,0.303170077083563,0.9525,0.9075,0.419378332234404,0.311034271738022,1.01092412438718,0.864273466407746,0.931139518545057,1.1656933326802,0.373684525489807,2.60765743255615,0.427732153287848,0.361964611569373
"clean",1,"gauss",FALSE,FALSE,"c3~x1",0.429,400,1,1,1,1,400,400,0,0.259265625,480,-0.00141690487830448,-0.0617674460953097,0.161231483001706,0.131076064152451,0.9525,0.9525,0.172322256565427,0.150629782548112,1.01092412438718,0.864273466407746,0.931139518545057,1.1656933326802,0.373684525489807,2.60765743255615,0.16123770877299,0.144900489960643
"clean",1,"gauss",FALSE,FALSE,"c3~grpb",-0.756,400,1,1,1,1,400,400,0,0.259265625,480,-0.0145649756684063,0.115242413802068,0.393997343402164,0.328532206058658,0.9475,0.95,0.387178339350298,0.348334331468522,1.01092412438718,0.864273466407746,0.931139518545057,1.1656933326802,0.373684525489807,2.60765743255615,0.394266464620292,0.348158332309735
"clean",1,"gauss",FALSE,FALSE,"c3~grpc",-1.092,400,1,1,1,1,400,400,0,0.259265625,480,-0.0107615589306238,0.168377729895042,0.376309883088856,0.311656890085261,0.9575,0.9325,0.383643539794351,0.341832223412331,1.01092412438718,0.864273466407746,0.931139518545057,1.1656933326802,0.373684525489807,2.60765743255615,0.37646372901113,0.354233082958416
"unbalanced",1,"gauss",TRUE,FALSE,"c2~(Intercept)",-0.07,400,1,1,1,1,400,400,0,0.245390625,480,-0.0267166668896506,-0.081833776622544,0.389735936620716,0.317857700535362,0.94,0.925,0.35088912636112,0.31045316656195,1.00616226605018,0.881353173979558,0.94626904721381,1.24092195703763,0.378254055976868,3.41747891902924,0.390650586308685,0.328222919348933
"unbalanced",1,"gauss",TRUE,FALSE,"c2~x1",1.194,400,1,1,1,1,400,400,0,0.245390625,480,0.0139268722392556,-0.0736299895925707,0.161728148801252,0.142342009596409,0.96,0.94,0.168766329629388,0.154391772877405,1.00616226605018,0.881353173979558,0.94626904721381,1.24092195703763,0.378254055976868,3.41747891902924,0.162326682603472,0.160257989078068
