"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"hurdle_pois","poisson",NA,"(Intercept)",0.119,2000,2000,0.945,-0.00602199668819386,0.0953701150749405,0.094101345318843,0.98669635917813,0.00509779364038993,20.867604970932,600,0,"zi",NA,1
"hurdle_pois","poisson",NA,"x1",-0.541,2000,2000,0.95,-0.00235357497920907,0.0418725726775271,0.0420274448886277,1.00369865525802,0.00487339717240448,20.867604970932,600,0,"zi",NA,1
"hurdle_pois","poisson",NA,"grpb",0.258,2000,2000,0.9585,0.00290880490173595,0.115263599921924,0.118080488124884,1.02443866237796,0.00445969449626317,20.867604970932,600,0,"zi",NA,1
"hurdle_pois","poisson",NA,"grpc",0.69,2000,2000,0.944,0.00350538854715365,0.107568803302453,0.107337680293172,0.997851393692357,0.00514120608417908,20.867604970932,600,0,"zi",NA,1
