"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"zip_mm","poisson",NA,"(Intercept)",0.119,2000,2000,0.9515,-0.00374306157063871,0.119211512949012,0.1185844948145,0.994740288760699,0.00480352734977121,122.540153026581,600,40,"zi",15,1
"zip_mm","poisson",NA,"x1",-0.541,2000,2000,0.9405,-0.000643236482096743,0.0412688121452348,0.0400705260424996,0.970963881913581,0.00528960064655168,122.540153026581,600,40,"zi",15,1
"zip_mm","poisson",NA,"grpb",0.258,2000,2000,0.956,0.000760979519836835,0.107835174341984,0.106764837968323,0.990074329826122,0.00458606585212206,122.540153026581,600,40,"zi",15,1
"zip_mm","poisson",NA,"grpc",0.69,2000,2000,0.9525,0.00217712962501371,0.0989693304987064,0.0989150478528313,0.999451520530637,0.00475624589355933,122.540153026581,600,40,"zi",15,1
