"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"beta_fixed","beta",NA,"(Intercept)",0.119,2000,2000,0.948,-0.000429565144147104,0.047512100205771,0.0480379003070275,1.01106665668281,0.00496467521596328,26.2311191558838,600,0,"beta",NA,1
"beta_fixed","beta",NA,"x1",-0.541,2000,2000,0.949,0.000579461511726498,0.0295762663670706,0.0298025972696426,1.00765245010181,0.00491929873051028,26.2311191558838,600,0,"beta",NA,1
"beta_fixed","beta",NA,"grpb",0.258,2000,2000,0.95,-0.000678960867335099,0.0682331740658342,0.0683228491770008,1.0013142450486,0.00487339717240448,26.2311191558838,600,0,"beta",NA,1
"beta_fixed","beta",NA,"grpc",0.69,2000,2000,0.9505,0.000865743669907104,0.0714845173639917,0.0698562006497589,0.977221407176304,0.0048502448391808,26.2311191558838,600,0,"beta",NA,1
