"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"ord_mm","ordinal",NA,"x1",-0.541,2000,2000,0.9575,-0.00528937015333042,0.0820250765285984,0.0850680652170916,1.03709827308033,0.00451075104611194,67.394024848938,600,40,"ord",15,1
"ord_mm","ordinal",NA,"grpb",0.258,2000,2000,0.952,-0.00426562902207672,0.194716210836059,0.195007340917842,1.00149515071464,0.00477995815881269,67.394024848938,600,40,"ord",15,1
"ord_mm","ordinal",NA,"grpc",0.69,2000,2000,0.9505,0.00604738386426318,0.20257571313088,0.199006834151801,0.982382493321038,0.0048502448391808,67.394024848938,600,40,"ord",15,1
