"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"aft_lnorm","lognormal",NA,"(Intercept)",0.119,2000,2000,0.9495,0.000340582837974834,0.0543128197532653,0.0546526127267171,1.00625622044658,0.00489641450451246,11.8917229175568,600,0,"aft",NA,1
"aft_lnorm","lognormal",NA,"x1",-0.541,2000,2000,0.946,0.000876042395143939,0.0365033274609672,0.0357148002835505,0.978398484952915,0.00505390937789747,11.8917229175568,600,0,"aft",NA,1
"aft_lnorm","lognormal",NA,"grpb",0.258,2000,2000,0.9475,-0.000896954976050524,0.0783565495206103,0.0777516251068641,0.992279848749758,0.00498717104178311,11.8917229175568,600,0,"aft",NA,1
"aft_lnorm","lognormal",NA,"grpc",0.69,2000,2000,0.949,-0.0010058046839132,0.082722911050336,0.0822874538697285,0.9947359543435,0.00491929873051028,11.8917229175568,600,0,"aft",NA,1
