"cell","family","J","coef","truth","n_attempt","n_used","coverage","bias","emp_sd","mean_se","se_ratio","mc_se","secs","N","n_latent","kind","obs_per_latent","conv_rate"
"nbinom_mm","nbinom",NA,"(Intercept)",0.119,2000,2000,0.943,-0.00246213298534169,0.141302155704195,0.136585809091237,0.966622260011156,0.00518415856238985,235.304074048996,600,30,"glm",20,1
"nbinom_mm","nbinom",NA,"x1",-0.541,2000,2000,0.9455,0.00142585951837049,0.0464905363352341,0.046084999626768,0.991277005162044,0.00507591124823908,235.304074048996,600,30,"glm",20,1
"nbinom_mm","nbinom",NA,"grpb",0.258,2000,2000,0.953,0.00262587113814017,0.114514456176134,0.114501299194167,0.999885106366421,0.00473238840333293,235.304074048996,600,30,"glm",20,1
"nbinom_mm","nbinom",NA,"grpc",0.69,2000,2000,0.9415,0.000864388566757635,0.114147465199082,0.10992898337928,0.963043578651137,0.0052477495176504,235.304074048996,600,30,"glm",20,1
