"cell","family","J","delta","n_attempt","n_wald","rej_wald","n_lrt","rej_lrt","secs","mc_se_wald"
"gauss_fixed","gaussian",NA,0,2000,2000,0.05,2000,0.05,27.669361114502,0.00487339717240448
"gauss_fixed","gaussian",NA,0.1,2000,2000,0.5085,0,NA,10.3777441978455,0.0111787242116442
"gauss_fixed","gaussian",NA,0.2,2000,2000,0.9805,0,NA,9.95366501808167,0.00309190475273738
"gauss_fixed","gaussian",NA,0.3,2000,2000,1,0,NA,9.25849199295044,0
"gauss_fixed","gaussian",NA,0.5,2000,2000,1,0,NA,9.00844192504883,0
"gauss_mm","gaussian",NA,0,2000,2000,0.054,2000,0.054,115.25607585907,0.00505390937789747
"gauss_mm","gaussian",NA,0.1,2000,2000,0.679,0,NA,45.6145401000977,0.0104393246908026
"gauss_mm","gaussian",NA,0.2,2000,2000,0.997,0,NA,47.7024569511414,0.00122290637417588
"gauss_mm","gaussian",NA,0.3,2000,2000,1,0,NA,51.4877490997314,0
"gauss_mm","gaussian",NA,0.5,2000,2000,1,0,NA,54.2788228988647,0
"binom_mm","binomial",NA,0,2000,2000,0.048,2000,0.0495,144.086405038834,0.00477995815881269
"binom_mm","binomial",NA,0.1,2000,2000,0.201,0,NA,60.2997920513153,0.0089609988282557
"binom_mm","binomial",NA,0.2,2000,2000,0.6035,0,NA,61.6019880771637,0.01093818426431
"binom_mm","binomial",NA,0.3,2000,2000,0.906,0,NA,63.3234469890594,0.00652548848746207
"binom_mm","binomial",NA,0.5,2000,2000,0.9995,0,NA,61.3952770233154,0.000499874984371065
"pois_mm","poisson",NA,0,2000,2000,0.053,2000,0.053,116.480667114258,0.0050095408971282
"pois_mm","poisson",NA,0.1,2000,2000,0.9085,0,NA,50.5073149204254,0.00644700511865781
"pois_mm","poisson",NA,0.2,2000,2000,1,0,NA,49.6921501159668,0
"pois_mm","poisson",NA,0.3,2000,2000,1,0,NA,50.5908901691437,0
"pois_mm","poisson",NA,0.5,2000,2000,1,0,NA,51.2593321800232,0
"mn_J3_rich","multinomial",3,0,2000,2000,0.0545,2000,0.0555,327.601661920547,0.00507591124823908
"mn_J3_rich","multinomial",3,0.1,2000,2000,0.3085,0,NA,153.939861059189,0.0103278204380208
"mn_J3_rich","multinomial",3,0.2,2000,2000,0.869,0,NA,145.696996927261,0.00754450130890041
"mn_J3_rich","multinomial",3,0.3,2000,2000,0.9955,0,NA,120.339240074158,0.00149662119455792
"mn_J3_rich","multinomial",3,0.5,2000,2000,1,0,NA,114.142863988876,0
"mn_J3_thin","multinomial",3,0,2000,2000,0.045,2000,0.055,345.283244132996,0.00463546114210873
"mn_J3_thin","multinomial",3,0.1,2000,2000,0.162,0,NA,127.789583206177,0.00823881059376898
"mn_J3_thin","multinomial",3,0.2,2000,2000,0.5055,0,NA,125.769129037857,0.0111796634564731
"mn_J3_thin","multinomial",3,0.3,2000,2000,0.8595,0,NA,127.108491182327,0.0077704488287357
"mn_J3_thin","multinomial",3,0.5,2000,2000,0.999,0,NA,124.395805120468,0.000706753139363385
"nbinom_mm","nbinom",NA,0,2000,2000,0.0545,2000,0.054,540.031023979187,0.00507591124823908
"nbinom_mm","nbinom",NA,0.1,2000,2000,0.617,0,NA,257.766077041626,0.0108699356023851
"nbinom_mm","nbinom",NA,0.2,2000,2000,0.9935,0,NA,281.000005960464,0.00179690706493129
"nbinom_mm","nbinom",NA,0.3,2000,2000,1,0,NA,306.113826990128,0
"nbinom_mm","nbinom",NA,0.5,2000,2000,1,0,NA,316.899873971939,0
"gauss_ar1","gaussian",NA,0,2000,2000,0.055,2000,0.0545,464.897186994553,0.00509779364038993
"gauss_ar1","gaussian",NA,0.1,2000,2000,0.887,0,NA,181.062905073166,0.00707923018413725
"gauss_ar1","gaussian",NA,0.2,2000,2000,1,0,NA,181.9505610466,0
"gauss_ar1","gaussian",NA,0.3,2000,2000,1,0,NA,182.374747991562,0
"gauss_ar1","gaussian",NA,0.5,2000,2000,1,0,NA,182.44984292984,0
"gauss_car1","gaussian",NA,0,2000,1975,0.0572151898734177,1974,0.0567375886524823,341.555649995804,0.0052261083578203
"gauss_car1","gaussian",NA,0.1,2000,1976,0.679655870445344,0,NA,142.791005134583,0.0104968611130173
"gauss_car1","gaussian",NA,0.2,2000,1974,0.996960486322188,0,NA,137.660084962845,0.00123898899743783
"gauss_car1","gaussian",NA,0.3,2000,1974,1,0,NA,139.227046012878,0
"gauss_car1","gaussian",NA,0.5,2000,1980,1,0,NA,141.044581890106,0
"tobit_ceil","gaussian",NA,0,2000,2000,0.0465,2000,0.0465,34.7784838676453,0.00470838348055891
"tobit_ceil","gaussian",NA,0.1,2000,2000,0.656,0,NA,13.0699331760406,0.0106222408182078
"tobit_ceil","gaussian",NA,0.2,2000,2000,0.9975,0,NA,14.6301069259644,0.00111663557170635
"tobit_ceil","gaussian",NA,0.3,2000,2000,1,0,NA,13.796875,0
"tobit_ceil","gaussian",NA,0.5,2000,2000,1,0,NA,14.0813231468201,0
"aft_weib","weibull",NA,0,2000,2000,0.0415,2000,0.043,30.5174329280853,0.00445969449626317
"aft_weib","weibull",NA,0.1,2000,2000,0.736,0,NA,14.4684031009674,0.00985657141200732
"aft_weib","weibull",NA,0.2,2000,2000,0.9995,0,NA,15.0753240585327,0.000499874984371065
"aft_weib","weibull",NA,0.3,2000,2000,1,0,NA,15.1401998996735,0
"aft_weib","weibull",NA,0.5,2000,2000,1,0,NA,15.6347811222076,0
"rp_flex","rp",NA,0,2000,1995,0.0481203007518797,1995,0.0486215538847118,96.9881219863892,0.0047916352244327
"rp_flex","rp",NA,0.1,2000,1995,0.62406015037594,0,NA,40.8236980438232,0.0108442858632581
"rp_flex","rp",NA,0.2,2000,1990,0.997989949748744,0,NA,42.056795835495,0.00100401454203861
"rp_flex","rp",NA,0.3,2000,1992,1,0,NA,42.3794350624084,0
"rp_flex","rp",NA,0.5,2000,1990,1,0,NA,40.8772079944611,0
"disp_group","gaussian",NA,0,2000,2000,0.061,2000,0.06,61.60964012146,0.00535158854920667
"disp_group","gaussian",NA,0.1,2000,2000,0.9405,0,NA,22.9065217971802,0.00528960064655168
"disp_group","gaussian",NA,0.2,2000,2000,1,0,NA,22.4849350452423,0
"disp_group","gaussian",NA,0.3,2000,2000,1,0,NA,23.5404491424561,0
"disp_group","gaussian",NA,0.5,2000,2000,1,0,NA,25.0906229019165,0
