"cell","family","J","delta","n_attempt","n_wald","rej_wald","n_lrt","rej_lrt","secs","mc_se_wald"
"gauss_fixed","gaussian",NA,0,2000,2000,0.05,2000,0.05,21.8345160484314,0.00487339717240448
"gauss_fixed","gaussian",NA,0.1,2000,2000,0.5085,0,NA,8.19294905662537,0.0111787242116442
"gauss_fixed","gaussian",NA,0.2,2000,2000,0.9805,0,NA,8.44171690940857,0.00309190475273738
"gauss_fixed","gaussian",NA,0.3,2000,2000,1,0,NA,8.14850687980652,0
"gauss_fixed","gaussian",NA,0.5,2000,2000,1,0,NA,8.20784187316895,0
"gauss_mm","gaussian",NA,0,2000,2000,0.054,2000,0.054,102.923960924149,0.00505390937789747
"gauss_mm","gaussian",NA,0.1,2000,2000,0.679,0,NA,40.7015781402588,0.0104393246908026
"gauss_mm","gaussian",NA,0.2,2000,2000,0.997,0,NA,40.7811329364777,0.00122290637417588
"gauss_mm","gaussian",NA,0.3,2000,2000,1,0,NA,40.3548200130463,0
"gauss_mm","gaussian",NA,0.5,2000,2000,1,0,NA,40.3628108501434,0
"binom_mm","binomial",NA,0,2000,2000,0.048,2000,0.0495,123.408819198608,0.00477995815881269
"binom_mm","binomial",NA,0.1,2000,2000,0.201,0,NA,56.4995930194855,0.0089609988282557
"binom_mm","binomial",NA,0.2,2000,2000,0.6035,0,NA,56.3223919868469,0.01093818426431
"binom_mm","binomial",NA,0.3,2000,2000,0.906,0,NA,56.0019459724426,0.00652548848746207
"binom_mm","binomial",NA,0.5,2000,2000,0.9995,0,NA,54.8108930587769,0.000499874984371065
"pois_mm","poisson",NA,0,2000,2000,0.053,2000,0.053,104.85067987442,0.0050095408971282
"pois_mm","poisson",NA,0.1,2000,2000,0.9085,0,NA,46.6838600635529,0.00644700511865781
"pois_mm","poisson",NA,0.2,2000,2000,1,0,NA,45.6274619102478,0
"pois_mm","poisson",NA,0.3,2000,2000,1,0,NA,45.7874929904938,0
"pois_mm","poisson",NA,0.5,2000,2000,1,0,NA,45.6556851863861,0
"mn_J3_rich","multinomial",3,0,2000,1998,0.0545545545545546,1998,0.0555555555555556,274.834156036377,0.00508084565387622
"mn_J3_rich","multinomial",3,0.1,2000,2000,0.3085,0,NA,120.461895942688,0.0103278204380208
"mn_J3_rich","multinomial",3,0.2,2000,2000,0.869,0,NA,120.146827936172,0.00754450130890041
"mn_J3_rich","multinomial",3,0.3,2000,2000,0.9955,0,NA,118.10053896904,0.00149662119455792
"mn_J3_rich","multinomial",3,0.5,2000,2000,1,0,NA,117.395454883575,0
"mn_J3_thin","multinomial",3,0,2000,1944,0.0452674897119342,1943,0.0550694801852805,206.483623981476,0.00471504596807134
"mn_J3_thin","multinomial",3,0.1,2000,1939,0.160391954615781,0,NA,84.1673798561096,0.00833375408802945
"mn_J3_thin","multinomial",3,0.2,2000,1930,0.50259067357513,0,NA,84.2692539691925,0.0113811335660788
"mn_J3_thin","multinomial",3,0.3,2000,1925,0.858181818181818,0,NA,83.4620609283447,0.00795133853385597
"mn_J3_thin","multinomial",3,0.5,2000,1930,0.998963730569948,0,NA,83.1681971549988,0.000732373377876248
"nbinom_mm","nbinom",NA,0,2000,2000,0.0545,2000,0.054,499.844119787216,0.00507591124823908
"nbinom_mm","nbinom",NA,0.1,2000,2000,0.617,0,NA,240.760152101517,0.0108699356023851
"nbinom_mm","nbinom",NA,0.2,2000,2000,0.9935,0,NA,242.470617055893,0.00179690706493129
"nbinom_mm","nbinom",NA,0.3,2000,2000,1,0,NA,244.054239988327,0
"nbinom_mm","nbinom",NA,0.5,2000,2000,1,0,NA,238.020068883896,0
"gauss_ar1","gaussian",NA,0,2000,2000,0.055,2000,0.0545,282.229254007339,0.00509779364038993
"gauss_ar1","gaussian",NA,0.1,2000,2000,0.887,0,NA,112.738945960999,0.00707923018413725
"gauss_ar1","gaussian",NA,0.2,2000,2000,1,0,NA,113.115283966064,0
"gauss_ar1","gaussian",NA,0.3,2000,2000,1,0,NA,110.214620113373,0
"gauss_ar1","gaussian",NA,0.5,2000,2000,1,0,NA,108.881919145584,0
"gauss_car1","gaussian",NA,0,2000,1951,0.0574064582265505,1950,0.0569230769230769,199.965850830078,0.00526640157373563
"gauss_car1","gaussian",NA,0.1,2000,1956,0.677402862985685,0,NA,78.5037031173706,0.0105698626298813
"gauss_car1","gaussian",NA,0.2,2000,1961,0.996940336562978,0,NA,78.008768081665,0.00124718998720672
"gauss_car1","gaussian",NA,0.3,2000,1954,1,0,NA,76.7014870643616,0
"gauss_car1","gaussian",NA,0.5,2000,1958,1,0,NA,77.2520689964294,0
"tobit_ceil","gaussian",NA,0,2000,2000,0.0465,2000,0.0465,23.612949848175,0.00470838348055891
"tobit_ceil","gaussian",NA,0.1,2000,2000,0.656,0,NA,10.0215640068054,0.0106222408182078
"tobit_ceil","gaussian",NA,0.2,2000,2000,0.9975,0,NA,9.9973349571228,0.00111663557170635
"tobit_ceil","gaussian",NA,0.3,2000,2000,1,0,NA,9.88322710990906,0
"tobit_ceil","gaussian",NA,0.5,2000,2000,1,0,NA,9.70928001403809,0
"aft_weib","weibull",NA,0,2000,2000,0.0415,2000,0.043,25.2998149394989,0.00445969449626317
"aft_weib","weibull",NA,0.1,2000,2000,0.736,0,NA,11.5423159599304,0.00985657141200732
"aft_weib","weibull",NA,0.2,2000,2000,0.9995,0,NA,11.5599889755249,0.000499874984371065
"aft_weib","weibull",NA,0.3,2000,2000,1,0,NA,11.4488019943237,0
"aft_weib","weibull",NA,0.5,2000,2000,1,0,NA,11.3290228843689,0
"rp_flex","rp",NA,0,2000,1995,0.0481203007518797,1995,0.0486215538847118,64.6254920959473,0.0047916352244327
"rp_flex","rp",NA,0.1,2000,1995,0.62406015037594,0,NA,27.0172791481018,0.0108442858632581
"rp_flex","rp",NA,0.2,2000,1990,0.997989949748744,0,NA,26.9473588466644,0.00100401454203861
"rp_flex","rp",NA,0.3,2000,1992,1,0,NA,26.9214708805084,0
"rp_flex","rp",NA,0.5,2000,1990,1,0,NA,26.700385093689,0
"disp_group","gaussian",NA,0,2000,2000,0.061,2000,0.06,45.056058883667,0.00535158854920667
"disp_group","gaussian",NA,0.1,2000,2000,0.9405,0,NA,17.5822269916534,0.00528960064655168
"disp_group","gaussian",NA,0.2,2000,2000,1,0,NA,17.542454957962,0
"disp_group","gaussian",NA,0.3,2000,2000,1,0,NA,20.1199388504028,0
"disp_group","gaussian",NA,0.5,2000,2000,1,0,NA,20.161288022995,0
