"regime","ncl","per","sd_re","coef","truth","n_illume","n_mclogit","bias_illume","bias_mclogit","sd_illume","sd_mclogit","cover_illume","cover_mclogit","mean_se_illume","mean_se_mclogit","att_illume","att_mclogit","t_illume","t_mclogit","rmse_illume","rmse_mclogit"
"large",40,25,0.7,"c2~(Intercept)",-0.07,500,500,0.00235473603409722,0.0028079008274359,0.223542660528011,0.212372871461942,0.958,0.958,0.224141707364459,0.215866583952517,1.00521235367241,0.960135980372999,0.750261425971985,3.49055802822113,0.223555062250292,0.212391433066514
"large",40,25,0.7,"c2~x1",1.194,500,500,0.00617164626078059,-0.0360777688733489,0.107001596587213,0.101432580321521,0.952,0.938,0.106736284712746,0.102380129563205,1.00521235367241,0.960135980372999,0.750261425971985,3.49055802822113,0.10717943314732,0.107657669292812
"large",40,25,0.7,"c2~grpb",-0.018,500,500,0.011093764654116,0.0125411883675707,0.213009181056909,0.205366500522735,0.948,0.948,0.215008516312395,0.210755963251346,1.00521235367241,0.960135980372999,0.750261425971985,3.49055802822113,0.213297873474482,0.205749072762492
"large",40,25,0.7,"c2~grpc",-0.978,500,500,-0.00310789771634556,0.0328382363763775,0.214069186942493,0.206068803030034,0.95,0.95,0.223594219318621,0.218633666789927,1.00521235367241,0.960135980372999,0.750261425971985,3.49055802822113,0.214091746282839,0.208668879688711
"large",40,25,0.7,"c3~(Intercept)",-0.287,500,500,0.015788064468949,0.0946236641096569,0.295999170154156,0.26372185913802,0.956,0.938,0.304371609625194,0.272552945211743,1.00521235367241,0.960135980372999,0.750261425971985,3.49055802822113,0.296419924619828,0.280183612648475
"large",40,25,0.7,"c3~x1",0.429,500,500,0.0041445354208956,-0.0127071685990305,0.10502984771351,0.0995605589644258,0.956,0.954,0.107769289109169,0.103728752238696,1.00521235367241,0.960135980372999,0.750261425971985,3.49055802822113,0.105111588726354,0.100368207292514
"large",40,25,0.7,"c3~grpb",-0.756,500,500,-0.00650914239712652,0.0303283957928829,0.241171278565266,0.2299143898462,0.958,0.962,0.242152863879335,0.235677292356964,1.00521235367241,0.960135980372999,0.750261425971985,3.49055802822113,0.241259102500923,0.231906097914049
"large",40,25,0.7,"c3~grpc",-1.092,500,500,-0.00990403216549707,0.0411701944651779,0.245265860876935,0.233104284016086,0.948,0.944,0.23834311171141,0.231066077523426,1.00521235367241,0.960135980372999,0.750261425971985,3.49055802822113,0.245465745807514,0.236712044769489
"small",100,4,1.2,"c2~(Intercept)",-0.07,500,500,-0.0358082911092805,-0.0833838505484879,0.41245217809215,0.276107989252311,0.932,0.95,0.379614836618476,0.280714356860862,1.00400673505947,0.730632082400156,0.434425592422485,3.63908159732819,0.414003662936846,0.288424146460117
"small",100,4,1.2,"c2~x1",1.194,500,500,0.00062213355857188,-0.237086277542403,0.202030335918528,0.143529872404714,0.958,0.682,0.205556288660673,0.161197359590779,1.00400673505947,0.730632082400156,0.434425592422485,3.63908159732819,0.202031293817364,0.277147482888492
"small",100,4,1.2,"c2~grpb",-0.018,500,500,-0.000860573263935103,0.022937800735472,0.396308745115934,0.315300547788933,0.962,0.974,0.404980085897353,0.352640946911989,1.00400673505947,0.730632082400156,0.434425592422485,3.63908159732819,0.39630967947012,0.31613379784291
"small",100,4,1.2,"c2~grpc",-0.978,500,500,0.0310431794887257,0.239545867962918,0.432054866914886,0.337167325734878,0.936,0.91,0.420842982877659,0.362526466167638,1.00400673505947,0.730632082400156,0.434425592422485,3.63908159732819,0.433168658858889,0.413598873791162
"small",100,4,1.2,"c3~(Intercept)",-0.287,500,500,-0.196176641799486,0.212010973019299,0.649797787447556,0.270285530325319,0.962,0.9,0.505668003045883,0.288283618614632,1.00400673505947,0.730632082400156,0.434425592422485,3.63908159732819,0.678765378727778,0.343515531794166
"small",100,4,1.2,"c3~x1",0.429,500,500,-0.00137352248037248,-0.108205404719613,0.210899353078947,0.133241438436728,0.944,0.926,0.210601584570862,0.158172535219904,1.00400673505947,0.730632082400156,0.434425592422485,3.63908159732819,0.210903825695795,0.171644080955982
"small",100,4,1.2,"c3~grpb",-0.756,500,500,0.00806037222881983,0.257626280678194,0.458469549065369,0.314753884226345,0.952,0.912,0.470928344874376,0.369927119665416,1.00400673505947,0.730632082400156,0.434425592422485,3.63908159732819,0.458540398460888,0.406744770257285
"small",100,4,1.2,"c3~grpc",-1.092,500,500,0.00441731908133947,0.344354921470887,0.481843977384389,0.318722175888559,0.946,0.874,0.470909089549366,0.363370213590428,1.00400673505947,0.730632082400156,0.434425592422485,3.63908159732819,0.48186422491141,0.469216514355961
