"family","b0","design","size","sd","cell","rep","seed","ok","sd_hat","se_logsd","push","ll","ll_drop","how","held","boundary","se_x","se_x_drop","draws_finite","drop_ok","push_ok","at"
"binomial",0,"ri",5,0.3,45,61,368656,TRUE,0.65049956399836,0.709796258010462,0.612867804775469,-32.7151285179383,-33.320541712074,"tmb","","",0.363178165466525,0.334689900994279,NA,FALSE,FALSE,FALSE
"gaussian",0.5,"ri",10,0.3,46,61,376847,TRUE,0.220580999657304,0.335279330653316,4.8952451840635,-73.7321785020104,-77.4545511292048,"tmb","","",0.0514585033552614,0.0533257468758551,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",10,0.3,47,61,385038,TRUE,0.222246553464675,0.386335731853098,2.81612607190834,-194.434609151469,-197.189452365568,"tmb","","",0.059355968074586,0.0580105051026126,NA,FALSE,FALSE,FALSE
"binomial",0,"ri",10,0.3,48,61,393229,TRUE,3.27269247781492e-05,0,-6.09860251188366e-09,-66.6506145671952,-66.6506145610814,"boundary","g","g",0.218839676446212,0.218839689504035,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",30,0.3,49,61,401420,TRUE,0.269307663786771,0.170715753046218,25.5042068482352,-226.86776123632,-246.547467559367,"tmb","","",0.0301311969979217,0.0331674517183041,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",30,0.3,50,61,409611,TRUE,0.225360514329328,0.213668648764512,9.64662031146349,-596.36788398743,-605.809765975876,"tmb","","",0.0334615901332919,0.0320359060496681,NA,FALSE,FALSE,FALSE
"binomial",0,"ri",30,0.3,51,61,417802,TRUE,0.185803306917326,1.69790439360098,0.0492242302296972,-205.290021635592,-205.339084988317,"tmb","","",0.122309633391417,0.120910249595061,NA,FALSE,FALSE,FALSE
"gaussian",0.5,"ri_ar",12,0,1,62,8253,TRUE,2.19354306184887e-05,0,-7.11850134393899e-10,-231.689354325945,-231.689354325232,"boundary","g","g",0.0416217961540598,0.0416217949869484,NA,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",12,0,2,62,16444,TRUE,0.304303399102633,0.45974197168148,2.23264930343873,-525.405292841606,-525.79990468957,"tmb","","",0.0406497438040457,0.0399791935798563,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",12,0,3,62,24635,TRUE,7.26998432368572e-05,0,-8.79214212545776e-09,-161.16522628374,-161.165226274928,"boundary","g","g",0.143068075880712,0.143068078558264,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",24,0,4,62,32826,TRUE,0.233742236981226,0.465321955014026,2.34818805220254,-478.514139645739,-478.907349476589,"tmb","","",0.0281184083486581,0.0281287949003424,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",24,0,5,62,41017,TRUE,6.59785984335724e-05,0,-7.20688149158377e-08,-1038.13679706818,-1038.13679699633,"boundary","g","g",0.0286513900148573,0.0286513876621354,NA,TRUE,TRUE,TRUE
"binomial",0,"ri_ar",24,0,6,62,49208,TRUE,3.25634989858981e-05,0,-1.58795501192799e-08,-326.561913242639,-326.561913226723,"boundary","g","g",0.104048603831623,0.104048597942639,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",12,0.1,7,62,57399,TRUE,1.32616776344732e-05,0,-2.23553797695786e-09,-212.252821772678,-212.252821770436,"boundary","g","g",0.0342030879237975,0.0342030894824603,NA,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",12,0.1,8,62,65590,TRUE,0.221066535158622,0.825358940985251,0.955726260874712,-507.975342443938,-508.103417115235,"tmb","","",0.0427257469319155,0.0424005304494771,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",12,0.1,9,62,73781,TRUE,0.00122960014929476,0,-5.33477168573881e-06,-162.36133945412,-162.174148303312,"boundary","g,ar","",0.133726097104959,0.138583627850276,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",24,0.1,10,62,81972,TRUE,0.252801602181246,0.280842307804137,5.24511653538008,-456.640166136399,-458.878579998833,"tmb","","",0.0270525862499557,0.0271728727585222,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",24,0.1,11,62,90163,TRUE,0.176473928103255,0.789005982345215,0.517959255097367,-981.927401122029,-982.118397881559,"tmb","","",0.0349529094217082,0.0348249349235845,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",24,0.1,12,62,98354,TRUE,4.5583442782912e-05,0,-1.35732989292592e-08,-325.239018256679,-325.239018243072,"boundary","g","g",0.0976182049680575,0.0976182095085451,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",12,0.3,13,62,106545,TRUE,0.333300008994843,0.450767390559051,4.14338779332471,-236.232763104552,-236.422917948034,"tmb","","",0.0372063104171419,0.0371915003833026,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",12,0.3,14,62,114736,TRUE,0.000200706845510744,0,-2.27172449740465e-08,-499.063546975718,-499.063546952975,"boundary","g","g",0.0474726973951236,0.0474726981397051,NA,TRUE,TRUE,TRUE
"binomial",0,"ri_ar",12,0.3,15,62,122927,TRUE,0.000242037875165753,0,-8.85120243765414e-09,-152.875174320977,-152.875174312115,"boundary","g","g",0.169894179089309,0.169894185309962,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",24,0.3,16,62,131118,TRUE,0.42534049072216,0.207601669270858,19.9674453389003,-470.031799813695,-472.245762487662,"tmb","","",0.0261317560144027,0.0262951476495148,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",24,0.3,17,62,139309,TRUE,0.254439324602268,0.526988176386139,2.01681729145412,-1042.7305818373,-1043.02724171166,"tmb","","",0.0274823492696974,0.0271910438434303,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",24,0.3,18,62,147500,TRUE,0.53577606865206,0.270506529935427,5.92450509482626,-322.780944286271,-322.782317804828,"tmb","","",0.0974933084819812,0.0969020817675584,NA,FALSE,FALSE,FALSE
"gaussian",0.5,"ri_ar",12,0.5,19,62,155691,TRUE,0.586193103961512,0.21843732700423,19.6680046656318,-232.147406220341,-233.308814696202,"tmb","","",0.0356032691605776,0.0354829134863189,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",12,0.5,20,62,163882,TRUE,0.488249079318516,0.445632467697283,5.38353262398584,-509.617025356114,-509.793045362341,"tmb","","",0.039576438448193,0.0391881345637878,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",12,0.5,21,62,172073,TRUE,8.97073817275207e-05,0,-1.10228768335219e-08,-160.746700614039,-160.746700602989,"boundary","g","g",0.15985411040152,0.159854095658889,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",24,0.5,22,62,180264,TRUE,0.457665301684623,0.203256133879672,25.5779997507193,-453.35525128589,-455.92916639336,"tmb","","",0.0261696820547963,0.0262830153423827,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",24,0.5,23,62,188455,TRUE,0.455830123319541,0.26572583062098,9.08318630210647,-972.039081642333,-973.184922649551,"tmb","","",0.0343304060503396,0.0336491503819235,NA,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",24,0.5,24,62,196646,TRUE,0.519513028562578,0.284910776165409,5.0920764303952,-324.053395596163,-324.063069558776,"tmb","","",0.0920805963982981,0.0921378726133302,NA,FALSE,FALSE,FALSE
"gaussian",0.5,"ri",5,0,25,62,204837,TRUE,9.9847972065984e-06,0,-2.7090081289316e-09,-38.8786659926373,-38.8786659899215,"boundary","g","g",0.0723859978915148,0.073878649716908,NA,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri",5,0,26,62,213028,TRUE,1.74420608510045e-05,0,-9.93398430182424e-09,-92.8127856000141,-92.8127855900554,"boundary","g","g",0.0809671204462981,0.0809671053876077,NA,TRUE,TRUE,TRUE
"binomial",0,"ri",5,0,27,62,221219,TRUE,2.45817848756744e-05,0,-2.23371188212695e-09,-34.0141608489518,-34.0141608468907,"boundary","g","g",0.311619147317001,0.311619131684305,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",10,0,28,62,229410,TRUE,0.0707771654843194,1.45472994455567,0.079887227638352,-76.0747431145194,-76.1460267187685,"tmb","","",0.0517870445956815,0.0524218844203645,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",10,0,29,62,237601,TRUE,1.35595204946535e-05,0,-2.09757331504079e-08,-204.374873137327,-204.374873116299,"boundary","g","g",0.0487423251747232,0.0487423126503935,NA,TRUE,TRUE,TRUE
"binomial",0,"ri",10,0,30,62,245792,TRUE,2.85733018316887e-05,0,-6.49086473458738e-09,-60.0814213724533,-60.0814213659465,"boundary","g","g",0.225596963231722,0.225596956350645,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",30,0,31,62,253983,TRUE,0.0795353649395701,0.595101240087111,0.523984166535882,-201.597748226208,-202.062652460443,"tmb","","",0.0277848341944549,0.0279963902180033,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",30,0,32,62,262174,TRUE,0.000108513835236938,0,-4.1011276152858e-08,-575.69544697831,-575.69544693719,"boundary","g","g",0.0303651316640318,0.0303651228849213,NA,TRUE,TRUE,TRUE
"binomial",0,"ri",30,0,33,62,270365,TRUE,5.11452557395453e-05,0,-2.35843629070587e-08,-206.30639893222,-206.306398908577,"boundary","g","g",0.116827452798123,0.116827465690295,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",5,0.1,34,62,278556,TRUE,3.40162713869353e-06,0,-1.56665436179537e-09,-22.8889748362693,-22.8889748346992,"boundary","g","g",0.0572246699735912,0.0584046861289401,NA,TRUE,TRUE,TRUE
