"family","b0","design","size","sd","cell","rep","seed","ok","sd_hat","se_logsd","push","ll","ll_drop","how","held","boundary","se_x","se_x_drop","draws_finite","drop_ok","push_ok","at"
"poisson",1.09861228866811,"ri",5,0.1,35,86,336771,TRUE,1.53459426926875e-05,0,-8.83562734088628e-09,-90.7145832649871,-90.7145832561302,"boundary","g","g",0.0677796570180332,0.0677796361725115,TRUE,TRUE,TRUE,TRUE
"binomial",0,"ri",5,0.1,36,86,344962,TRUE,2.74590984500145e-05,0,-3.10711101292327e-09,-34.0157632692755,-34.0157632662592,"boundary","g","g",0.308847131477023,0.308847394198906,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",10,0.1,37,86,353153,TRUE,0.0954879203581602,0.872479639601475,0.259057768311195,-74.9653368834469,-75.1945424182588,"tmb","","",0.0520580118348845,0.0528525170238092,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",10,0.1,38,86,361344,TRUE,0.0574369142876269,2.40256265000691,0.0249593317079757,-207.650197424982,-207.674861403742,"tmb","","",0.0612678612878459,0.0611452900432054,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri",10,0.1,39,86,369535,TRUE,6.95202568319706e-05,0,-6.17680484538141e-09,-68.8980238047966,-68.8980237986166,"boundary","g","g",0.187151822070247,0.187151824639215,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",30,0.1,40,86,377726,TRUE,0.00745506613201961,0,3.6924573350916e-05,-217.533966493735,-217.533999881778,"boundary","g","g",0.0271583190851523,0.0272496292047736,TRUE,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri",30,0.1,41,86,385917,TRUE,4.27650818892243e-05,0,-6.78559217703878e-08,-575.422467191603,-575.422467123579,"boundary","g","g",0.0313218568968251,0.0313218422111795,TRUE,TRUE,TRUE,TRUE
"binomial",0,"ri",30,0.1,42,86,394108,TRUE,7.56386602935105e-05,0,-1.71730221154576e-08,-206.364127455954,-206.36412743874,"boundary","g","g",0.113775080385816,0.113775090387817,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",5,0.3,43,86,402299,TRUE,0.205659996488541,0.446451653592158,3.02384597609763,-29.9573365059858,-32.3618586775938,"tmb","","",0.0739254183877117,0.0800443920218252,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",5,0.3,44,86,410490,TRUE,0.295248687377649,0.435736467409911,3.75263054541244,-101.391802211313,-105.025239996731,"tmb","","",0.0943199052849235,0.0920762953536268,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri",5,0.3,45,86,418681,TRUE,3.69680586514253e-05,0,-2.32853381021414e-09,-33.8987938085025,-33.8987938061682,"boundary","g","g",0.329319935949328,0.329319965820694,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",10,0.3,46,86,426872,TRUE,0.2633330954449,0.29782762738713,8.29150334668051,-74.2177336121323,-80.5404306469066,"tmb","","",0.0519372012508415,0.0584715524901301,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",10,0.3,47,86,435063,TRUE,0.394512727472857,0.269564067744717,18.9357733159981,-202.075405542477,-220.501999324072,"tmb","","",0.0551234935311285,0.0545742744952873,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri",10,0.3,48,86,443254,TRUE,0.271004193496416,1.63160671044476,0.0656260648804761,-66.6563488422495,-66.7157705705995,"tmb","","",0.266769395240765,0.249650900444278,TRUE,FALSE,FALSE,FALSE
"gaussian",0.5,"ri",30,0.3,49,86,451445,TRUE,0.31449659395702,0.165661384017752,30.4246577483152,-255.481818517752,-278.511094552547,"tmb","","",0.0351034975210372,0.0390797364118096,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",30,0.3,50,86,459636,TRUE,0.282505870499774,0.185397247335961,19.3028396752544,-587.368365863557,-606.159019546867,"tmb","","",0.0315487637816405,0.0297013409047476,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri",30,0.3,51,86,467827,TRUE,0.343776570890731,0.62335539630917,0.462529666123658,-201.133898472957,-201.595287714121,"tmb","","",0.125324551932025,0.12156382792818,TRUE,FALSE,FALSE,FALSE
"gaussian",0.5,"ri_ar",12,0,1,87,58278,TRUE,0.269935782667005,0.286746182530676,6.05176096024945,-209.39861689783,-210.609322155601,"tmb","","",0.0360594429462643,0.0363056158308234,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",12,0,2,87,66469,TRUE,0.182520142899171,1.19942370439993,0.410205961020324,-506.580319823516,-506.643045429596,"tmb","","",0.0443169695358519,0.0440310093215232,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",12,0,3,87,74660,TRUE,0.437827740167359,0.483989775316004,0.974851024754571,-161.246286927937,-161.246284919795,"boundary","ar","ar",0.140806199518406,0.236172702944017,TRUE,TRUE,FALSE,FALSE
"gaussian",0.5,"ri_ar",24,0,4,87,82851,TRUE,0.191687625358794,0.711544494240683,0.657029682006169,-472.654627630988,-472.879802400967,"tmb","","",0.0265999437055436,0.0266059936307784,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",24,0,5,87,91042,TRUE,3.70990049115229e-05,0,-5.06181550008478e-08,-1027.94332380574,-1027.9433237551,"boundary","g","g",0.0306539592598279,0.0306539608207493,TRUE,TRUE,TRUE,TRUE
