"design","noise","cell","rep","seed","ok","sigma","rel","se_logsig","push","held","how","draws_finite","at","rule"
"ar1",0.05,3,56,18077,TRUE,0.000156947058640354,0.000189440480990328,0,1.64550629051519e-05,"dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,56,24084,TRUE,0.494841283501901,0.669082487509179,423.451046314589,45.6574873523446,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,56,30091,TRUE,0.485994356281513,0.642547860628825,0.0430333417853543,53517.9760154138,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,57,6064,TRUE,0.626203873823843,0.610788846875422,0.108376679465692,238.043552569119,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,57,12071,TRUE,0.260068824564672,0.293109744145019,0.301822308499398,11.6491893931642,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,57,18078,TRUE,0.198409229825037,0.240232266901493,0.588726794207807,3.3066187150414,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,57,24085,TRUE,0.531090884369374,0.649046419685216,0.0816496580932876,45.6574888639905,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,57,30092,TRUE,0.499939843652365,0.651858282333794,0.0430336837528027,53517.9391475076,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,58,6065,TRUE,0.500281113858079,0.551017208548676,0.209738097569525,63.4052594456937,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,58,12072,TRUE,0.168455497923015,0.194031078299495,0.753952467866913,1.6012076069664,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,58,18079,TRUE,0.000133121098063914,0.000146119973027597,0,-3.71122837350413e-05,"dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,58,24086,TRUE,0.527405940800254,0.656284532094169,0.081649658096073,45.657491396814,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,58,30093,TRUE,0.503849174542183,0.559038686313888,0.0430331407228021,53517.90827446,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,59,6066,TRUE,0.247354052112806,0.23838430263695,0.66919059383158,2.47334785659427,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,59,12073,TRUE,0.247325622913175,0.284325340145825,0.340555647800484,7.85848109045116,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,59,18080,TRUE,1.25079903590288e-05,1.45422952788177e-05,0,-3.38695826940238e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,59,24087,TRUE,0.538832721254637,0.674811087063986,0.0816496580911688,45.657492396188,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,59,30094,TRUE,0.482398986156813,0.613741161390228,0.0430332341234806,53517.9472108503,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,60,6067,TRUE,0.543617668612738,0.575168403876965,0.113785593720544,167.219205837948,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,60,12074,TRUE,1.00615279398561e-05,1.22025767420602e-05,0,-1.63481672643684e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,60,18081,TRUE,9.82929328529744e-06,1.07290132814787e-05,0,-1.60025592776947e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,60,24088,TRUE,0.55843235683808,0.666128084426671,109.564137389632,45.6574680167953,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,60,30095,TRUE,0.499159831395898,0.604932837601177,0.0430358746868055,53517.9237340609,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,61,6068,TRUE,0.456262040834866,0.506998384075642,0.208380380914194,48.4108486032848,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,61,12075,TRUE,0.161552659256024,0.174921988387448,0.934624409741044,1.22234471342688,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,61,18082,TRUE,0.210853959759651,0.240150849471695,0.370710145068891,5.81423637198407,"","tmb",TRUE,FALSE,FALSE
"ri1",0.5,4,61,24089,TRUE,0.569467106739933,0.666450501790912,0.0816496580905708,45.6575330172665,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,61,30096,TRUE,0.501427186698638,0.591060447057292,0.0430331392935072,53517.9362343012,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,62,6069,TRUE,0.477332323269858,0.465787750905574,0.210262416832329,35.8763762503386,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,62,12076,TRUE,0.0738882064700811,0.0771980259986619,4.9086332891642,0.0394357646005119,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,62,18083,TRUE,1.17945127626618e-05,1.38892682075276e-05,0,-2.44472175836563e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,62,24090,TRUE,0.536896213317378,0.663975873845778,209.810284093845,45.6574830885384,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,62,30097,TRUE,0.519432239605491,0.646594195438848,0.0430335932119277,53517.9604132098,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,63,6070,TRUE,0.499962063403298,0.534906421509944,0.217587585971848,66.6020692792956,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,63,12077,TRUE,0.187616197406263,0.224200467195112,0.946196868273185,1.84205196646121,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,63,18084,TRUE,0.154933177490038,0.180320152942768,0.654140709447981,1.86943274192902,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,63,24091,TRUE,0.547973594926562,0.646339668305829,360.158197440292,45.6574868218675,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,63,30098,TRUE,0.534564569183681,0.660558014203339,0.0430332984262691,53517.9402874978,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,64,6071,TRUE,0.171642543992684,0.181585978026453,3.08003952611721,0.367069749580196,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,64,12078,TRUE,0.000139368880812258,0.000157752600063182,0,2.72317925009702e-05,"dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,64,18085,TRUE,0.0630996529579107,0.0854650262009205,9.59198215173458,0.0275019927142921,"","tmb",TRUE,FALSE,FALSE
"ri1",0.5,4,64,24092,TRUE,0.541133793048029,0.669596248093161,182.469831462922,45.657481268183,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,64,30099,TRUE,0.491939145902088,0.627720964020626,0.0430369050394457,53517.9458160779,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,65,6072,TRUE,0.636701735332754,0.696297857584299,0.113489372070821,319.386791974489,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,65,12079,TRUE,0.0317653547364464,0.0378343170195654,29.5409112779086,0.0013533554267724,"","tmb",FALSE,FALSE,FALSE
"ar1",0.05,3,65,18086,TRUE,0.271572816383525,0.310625466600878,0.196470862769788,20.7255160971066,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,65,24093,TRUE,0.529016840804918,0.653041387884331,0.0816496580930189,45.6574929554157,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,65,30100,TRUE,0.495567756440507,0.607595276466885,0.0430331484653053,53517.9343339773,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,66,6073,TRUE,0.607864752080021,0.601103631806827,0.128412398135293,168.740351512598,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,66,12080,TRUE,0.252578757786336,0.298225130198073,0.313540976105508,12.0512593475082,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,66,18087,TRUE,0.140957799391711,0.158606796818061,0.93250605239978,0.898974564514674,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,66,24094,TRUE,0.537704291062239,0.654684339579625,142.50796053084,45.657476490418,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,66,30101,TRUE,0.533928660155279,0.656581539561717,0.0430352705024889,53517.9853442176,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,67,6074,TRUE,0.481916424183257,0.508298421271212,0.15204664115088,58.4963980191334,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,67,12081,TRUE,5.68570143588681e-05,6.33746842215249e-05,0,0.000660942104786955,"dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,67,18088,TRUE,0.25567472060752,0.304675303076742,0.318554938957791,14.197646180845,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,67,24095,TRUE,0.489038608062643,0.648577531590603,0.0816496580888311,45.6575072068675,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,67,30102,TRUE,0.499496151047662,0.560747167859878,0.0430331368221357,53517.91167136,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,68,6075,TRUE,0.65780735889765,0.676890625093323,0.12505758037924,338.682136210241,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,68,12082,TRUE,0.00010186398644256,0.000112388113966602,0,0.000221888101350487,"dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,68,18089,TRUE,2.19893524537119e-05,2.64636982174412e-05,0,-2.34331309911795e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,68,24096,TRUE,0.525920740489637,0.637508096332686,0.0816496580922432,45.6574889279426,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,68,30103,TRUE,0.482612224839041,0.556207668659443,0.0430336577061783,53517.9044554654,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,69,6076,TRUE,0.419839759689532,0.449676720416372,0.189060239397012,39.9022533708164,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,69,12083,TRUE,0.000246843222094763,0.00029135815444278,0,-6.37309403828112e-06,"dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,69,18090,TRUE,1.09267426533684e-05,1.17614474860838e-05,0,-1.31421984406188e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,69,24097,TRUE,0.580887372753478,0.672613829781995,0.0816496580932272,45.657544173006,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,69,30104,TRUE,0.506545285021213,0.69612916075339,0.0430335668150897,53518.0169680213,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,70,6077,TRUE,0.534840614220441,0.504652004826017,0.11702591353746,126.667907058837,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,70,12084,TRUE,0.000162439878057041,0.000192175156196476,0,-6.28957536719099e-05,"dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,70,18091,TRUE,0.149195793191912,0.176657994661479,0.913805642651733,1.50206215411146,"","tmb",TRUE,FALSE,FALSE
"ri1",0.5,4,70,24098,TRUE,0.5468423851795,0.663431985945566,0.0816496580937648,45.6575050566454,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,70,30105,TRUE,0.51933156644887,0.708140614409725,0.0430359726090644,53518.0318743663,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,71,6078,TRUE,0.507819595421844,0.493526620997022,0.159026950824578,62.0393935378061,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,71,12085,TRUE,0.28600210258081,0.319190593594813,0.239449784650339,18.9687919533064,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,71,18092,TRUE,0.141692518708006,0.164048015408326,0.714035626817739,1.36161945659148,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,71,24099,TRUE,0.562552635775072,0.678742494356898,0.0816496580893912,45.6574936728149,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,71,30106,TRUE,0.46512573624094,0.539213416635616,0.0430332955760786,53517.9035350717,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,72,6079,TRUE,0.521034367001229,0.51804445918659,0.23215862630141,53.3615505242992,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,72,12086,TRUE,1.59937699686296e-05,1.74156832842274e-05,0,-1.17324816528708e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,72,18093,TRUE,1.47760764429732e-05,1.79591853903746e-05,0,-4.25916368840262e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,72,24100,TRUE,0.540846452856933,0.66830263471552,106.603408968513,45.6574668497529,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,72,30107,TRUE,0.516205265831662,0.650300656474899,0.0430336498792875,53517.9676083186,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,73,6080,TRUE,0.456110468207059,0.472583633730006,0.291592979967866,30.5157362427295,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,73,12087,TRUE,0.107743185625652,0.121604406647693,1.97509177319212,0.22840878914451,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,73,18094,TRUE,0.000283851813025474,0.000369442650170422,0,3.80107849196065e-06,"dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,73,24101,TRUE,0.592746613803201,0.659876769717999,142.568477285268,45.6574765008143,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,73,30108,TRUE,0.521180219335095,0.630568419436829,0.043037865441189,53517.9363400625,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,74,6081,TRUE,0.619135698575946,0.623545613667325,0.120551416725913,171.834401686725,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,74,12088,TRUE,0.0934436373461991,0.108558735638994,2.29424420241856,0.147797298585488,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,74,18095,TRUE,0.207214512284153,0.235600901365567,0.433079869934748,4.62529989308524,"","tmb",TRUE,FALSE,FALSE
"ri1",0.5,4,74,24102,TRUE,0.56562102050032,0.658471520683161,0.0816496580943896,45.6574899226237,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,74,30109,TRUE,0.506135099048875,0.601142046368534,0.0430331820859304,53517.9197655446,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,75,6082,TRUE,0.470676655084093,0.482098428780094,0.199046922836936,52.1207236615643,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,75,12089,TRUE,7.63864316334831e-05,8.31125476987894e-05,0,8.61924081618781e-06,"dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,75,18096,TRUE,7.35004575232245e-06,8.3070439673747e-06,0,-8.05357558419928e-10,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,75,24103,TRUE,0.590471947038284,0.663883401096668,0.0816496580935355,45.6574928958971,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,75,30110,TRUE,0.519560066615358,0.595636914592006,0.0430331433845741,53517.9193555024,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,76,6083,TRUE,0.522418879861603,0.553510475460474,0.12507709949805,123.702240415358,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,76,12090,TRUE,0.239042744722348,0.267245129096363,0.345146182853874,7.78240457336045,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,76,18097,TRUE,0.136267560298312,0.173793462432625,0.944921289094948,1.05653902118138,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,76,24104,TRUE,0.537232675983152,0.621170078233627,192.904408147752,45.6574820547,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,76,30111,TRUE,0.528946571644565,0.652782152480001,0.0430378277721591,53517.9440276136,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,77,6084,TRUE,0.436909855553666,0.458838614370654,0.287322381087361,26.9633049416782,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,77,12091,TRUE,0.204256758616042,0.221575804955465,0.462995898614014,4.70756195394824,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,77,18098,TRUE,1.22051427033866e-05,1.50378411364209e-05,0,-4.26052793045528e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,77,24105,TRUE,0.573678498948094,0.636715759275174,104.737137906594,45.6574660626767,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,77,30112,TRUE,0.467736439940572,0.619126609671947,0.0430336530172865,53517.9412360258,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,78,6085,TRUE,0.50631436424051,0.49682569595586,0.122710746374408,99.1743374053982,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,78,12092,TRUE,1.77111166883991e-05,2.16437695185843e-05,0,-3.44334694091231e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,78,18099,TRUE,0.18818933755331,0.238164953479965,0.537121348314147,4.20219680930802,"","tmb",TRUE,FALSE,FALSE
"ri1",0.5,4,78,24106,TRUE,0.560563779468451,0.676299801236666,0.0816496580934263,45.6574915747426,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,78,30113,TRUE,0.502821306026377,0.571756354650815,0.0430334689362887,53517.921673989,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,79,6086,TRUE,0.455430518829357,0.507450977049539,0.249643469664576,37.5314575917362,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,79,12093,TRUE,0.000238041775414391,0.000296957350696815,0,8.49002708491753e-06,"dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,79,18100,TRUE,0.0880710314530253,0.121867581959198,2.65451511244607,0.15326730161928,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,79,24107,TRUE,0.56248644436046,0.659820934190175,0.0816496580930834,45.6574906700648,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,79,30114,TRUE,0.499789893984973,0.610874892843457,0.0430332085768441,53517.9171097129,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,80,6087,TRUE,0.227710818725398,0.243522268482,1.5349422813154,1.29387144339103,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,80,12094,TRUE,0.143917444448918,0.153157699812368,1.49379525417623,0.610883953712118,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,80,18101,TRUE,1.1778986606511e-05,1.52787374844447e-05,0,-6.38056008028798e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,80,24108,TRUE,0.539861462562095,0.668878177407554,286.684283118378,45.6574857129627,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,80,30115,TRUE,0.515383457998126,0.617822390817688,0.0430354029176619,53517.9273517764,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,81,6088,TRUE,0.474790427914164,0.485343316726021,0.179043058471985,76.2624846898628,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,81,12095,TRUE,0.295094770356213,0.349031398309777,0.163009749295022,33.8855106291635,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,81,18102,TRUE,1.42513821029977e-05,1.66848267660189e-05,0,-3.01588443107903e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,81,24109,TRUE,0.572507892081389,0.670488132137567,0.0816496580941502,45.6575065776904,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,81,30116,TRUE,0.53469096916404,0.594242990737545,0.0430342459730087,53517.9381867993,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,82,6089,TRUE,0.644607831701077,0.661705314418735,0.0781373018629628,391.116616160714,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,82,12096,TRUE,0.000128023536600741,0.000138368141531754,0,-1.17116446745058e-05,"dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,82,18103,TRUE,0.187883608973658,0.211711682132864,0.517399639290875,3.2573665128171,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,82,24110,TRUE,0.534751222681103,0.67237776040102,94.23223656045,45.6574607247111,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,82,30117,TRUE,0.539859790670578,0.662902584643615,0.0430335895442277,53517.978082477,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,83,6090,TRUE,0.365176865725131,0.382721972792732,0.440212353738032,14.3357878396556,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,83,12097,TRUE,0.158002196712719,0.193841919772246,1.01110687885352,1.07342979525322,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,83,18104,TRUE,8.89649084077273e-05,8.41654341491635e-05,0,-5.12028964294586e-06,"dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,83,24111,TRUE,0.593875366606371,0.674488888318986,91.439474469452,45.6574589874379,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,83,30118,TRUE,0.481088220846986,0.581088555030807,0.0430331370192867,53517.9114389896,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,84,6091,TRUE,0.486946052237596,0.547486760231816,0.251195468124907,53.446105126323,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,84,12098,TRUE,0.191710052395682,0.231229705494338,0.649372165510468,2.51364896265397,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,84,18105,TRUE,2.02529268859944e-05,2.22232753626384e-05,0,-0.000238793452354003,"dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,84,24112,TRUE,0.547569238885199,0.657108523747388,304.35208470002,45.6574860541092,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,84,30119,TRUE,0.505595302373464,0.659422378590378,0.0430335840370449,53517.9627822241,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,85,6092,TRUE,0.627563880189926,0.609667752117026,0.094730239778608,315.040697722837,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,85,12099,TRUE,0.187230209891506,0.204153614263856,0.594308985298381,2.62142901316201,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,85,18106,TRUE,0.151087141719794,0.197548236543872,0.959583830590051,1.1825578646808,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,85,24113,TRUE,0.575856592164194,0.672842360144122,54.8238472278133,45.6574059743867,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,85,30120,TRUE,0.513296655267137,0.623856406808547,0.0430395263047899,53517.9424088197,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,86,6093,TRUE,0.475195458041635,0.480851340204568,0.277898452820586,51.8485634233389,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,86,12100,TRUE,0.238459372798555,0.251583971648996,0.428740404039574,6.30324366595943,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,86,18107,TRUE,2.05474031534935e-05,2.62067914687308e-05,0,-3.83079168386757e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,86,24114,TRUE,0.581367701531464,0.652124459565907,675.368056140319,45.6574881943067,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,86,30121,TRUE,0.496852400555866,0.546691954785951,0.0430333254293423,53517.9084704179,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,87,6094,TRUE,0.582925052429321,0.568548212190844,0.118324032241688,142.165698814307,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,87,12101,TRUE,3.16104874911133e-05,3.68174405117349e-05,0,-2.42380338022485e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,87,18108,TRUE,2.12959184237823e-05,2.83844205110258e-05,0,-5.83349901717156e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,87,24115,TRUE,0.531331145353765,0.649095431134018,0.0816496580908785,45.6574888589766,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,87,30122,TRUE,0.499670452543506,0.550467596560448,0.0430333440557927,53517.9069292079,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,88,6095,TRUE,0.372742530989564,0.386613547759174,0.370424661234405,12.1781271497637,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,88,12102,TRUE,0.236821989378309,0.276953721010066,0.25595856749857,14.297642106137,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,88,18109,TRUE,1.54901428096953e-05,1.8917087874751e-05,0,-3.06363290292211e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,88,24116,TRUE,0.522729746473583,0.66928671362692,68.3874814842412,45.6574355492002,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,88,30123,TRUE,0.50499723785129,0.696757615325137,0.0430333160258668,53518.003722533,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,89,6096,TRUE,0.602124305719909,0.655705246372109,0.0901811609644661,298.770213549329,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,89,12103,TRUE,0.206168311917363,0.201519382093493,0.512395233959717,3.18347576962117,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,89,18110,TRUE,1.24100295842852e-05,1.57826213897035e-05,0,-4.68025973532349e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,89,24117,TRUE,0.558625790641209,0.661903621123723,168.882336231886,45.6574800176456,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,89,30124,TRUE,0.491111439731794,0.600062876490589,0.0430334311693807,53517.901825549,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,90,6097,TRUE,0.550496443240536,0.598485302973042,0.128570347417776,136.338909652898,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,90,12104,TRUE,0.248394464483845,0.269417553217183,0.287361506963927,11.2925292738769,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,90,18111,TRUE,0.340523489221165,0.408538464379503,0.140484779803359,66.2642370298857,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,90,24118,TRUE,0.55038174059406,0.667107558774972,0.081649658092868,45.657488889037,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,90,30125,TRUE,0.484283070162485,0.544844207454348,0.0430331562391156,53517.9037463413,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,91,6098,TRUE,0.284034116736078,0.274570544202074,0.73238798071502,3.09372588741638,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,91,12105,TRUE,0.258512099525324,0.321194763058532,0.408026042720847,8.41914689256964,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,91,18112,TRUE,7.85429567835415e-05,8.85026172704538e-05,0,0.000224145421270805,"dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,91,24119,TRUE,0.533457242583077,0.65460391192765,0.0816496580891653,45.6575005757845,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,91,30126,TRUE,0.490963574673607,0.594984822992712,0.0430332392229932,53517.9214739847,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,92,6099,TRUE,0.396938058851446,0.382311066572652,0.223796465778328,29.0985823881266,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,92,12106,TRUE,1.39037685823388e-05,1.48059514003974e-05,0,-2.28556018555537e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,92,18113,TRUE,3.22691248958372e-05,3.80580058647864e-05,0,-0.00109233436660361,"dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,92,24120,TRUE,0.573106383213874,0.664473855753754,83.6208482474576,45.6574531635899,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,92,30127,TRUE,0.50605604496561,0.630787599863555,0.0430346849214739,53517.9393799476,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,93,6100,TRUE,0.205640761113104,0.21015352192245,1.44406424577596,0.819819763138298,"g","boundary",TRUE,FALSE,FALSE
