"design","noise","cell","rep","seed","ok","sigma","rel","se_logsig","push","held","how","draws_finite","at","rule"
"ri1",0.5,4,28,24056,TRUE,0.561387341954705,0.647704950477052,719.534332741098,45.6574882591822,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,28,30063,TRUE,0.507997412063013,0.578934026734937,0.043033935761082,53517.919005113,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,29,6036,TRUE,0.465320239167671,0.455079651440216,0.21512459939358,47.6897222667646,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,29,12043,TRUE,0.285347866538814,0.317744409503716,0.245905322505897,19.951168893083,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,29,18050,TRUE,8.63225463835446e-05,9.91450673298623e-05,0,-3.88536136597395e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,29,24057,TRUE,0.542651647560869,0.668201910564709,0.0816496580935404,45.6574958081513,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,29,30064,TRUE,0.470329186272934,0.577505254005924,0.0430339657884228,53517.9183614506,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,30,6037,TRUE,0.537753756698381,0.547744682611102,0.107796657907673,136.599786281273,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,30,12044,TRUE,0.336797989023618,0.366752828071509,0.194139968742338,28.1568789537928,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,30,18051,TRUE,2.14782113128978e-07,2.39156554863722e-07,0,-1.67892721947283e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,30,24058,TRUE,0.532737793212607,0.635592930010573,0.0816496580898971,45.657540660555,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,30,30065,TRUE,0.484948439118642,0.614381444573195,0.0430334471806325,53517.9330094627,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,31,6038,TRUE,0.415786152285143,0.434524303032185,0.27087985680907,26.9938529332023,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,31,12045,TRUE,0.307972868504406,0.357330630334839,0.295866486321574,15.8848758939279,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,31,18052,TRUE,8.83669271729208e-05,0.000106322621901905,0,3.43736342074408e-05,"dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,31,24059,TRUE,0.581466838341734,0.64738603756459,256.777545966813,45.6574849668071,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,31,30066,TRUE,0.506077936135812,0.587769935250749,0.0430334003398061,53517.9155945303,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,32,6039,TRUE,0.536348247986483,0.573377148517491,0.201390484835456,92.421569580888,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,32,12046,TRUE,0.227754248507164,0.23160993166532,0.415934841511081,5.39611524383679,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,32,18053,TRUE,0.153090159494072,0.180158943387972,0.672659425032675,1.65041892754891,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,32,24060,TRUE,0.525253132268449,0.645389501928936,1281.89613028253,45.6574885882973,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,32,30067,TRUE,0.48728942574877,0.605457513269401,0.0430332470921979,53517.9507651288,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,33,6040,TRUE,0.460666796422153,0.450961920750253,0.185641448773127,41.1037048403453,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,33,12047,TRUE,0.000195037012765253,0.000212006383532176,0,-6.81868505125749e-06,"dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,33,18054,TRUE,1.76518192263783e-05,2.00405313275969e-05,0,-6.41512087895535e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,33,24061,TRUE,0.55147341923199,0.673532826902883,1359.72467335527,45.6574886051055,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,33,30068,TRUE,0.489780525204212,0.52153424695378,0.043033654224749,53517.9049656103,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,34,6041,TRUE,0.516156641781775,0.560421487337988,0.173399636062063,67.5151297436469,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,34,12048,TRUE,0.0844602103996404,0.105713656339539,6.50228025068738,0.0724933157169971,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,34,18055,TRUE,0.322753230158824,0.407164660684515,0.13574380315381,54.9305187456833,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,34,24062,TRUE,0.520240816363859,0.66417966635367,115.250036771496,45.6574700110812,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,34,30069,TRUE,0.484877975845727,0.583067367208101,0.0430331989203323,53517.9103186762,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,35,6042,TRUE,0.466468774079089,0.504982501812743,0.170166855312632,57.4301480131534,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,35,12049,TRUE,0.266164104237635,0.332798532948515,0.277781013220769,16.0220007433926,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,35,18056,TRUE,0.000108404621307618,0.000124687630473136,0,-2.79646656053956e-06,"dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,35,24063,TRUE,0.522962966309401,0.633121020172046,0.081649658093735,45.6574887480298,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,35,30070,TRUE,0.532163769015459,0.595185921117672,0.0430331367971907,53517.9199899597,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,36,6043,TRUE,0.487214166105819,0.507180220300566,0.160053924571348,66.9200167156299,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,36,12050,TRUE,0.12365334406648,0.12706047118484,1.52141181931798,0.409253370102761,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,36,18057,TRUE,0.193475085399926,0.216920873662264,0.544650094968863,2.86776512108668,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,36,24064,TRUE,0.556416378523272,0.671640246461698,0.0816496580910923,45.6574917549241,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,36,30071,TRUE,0.495091734290427,0.691896035344613,0.0430332954398851,53518.0348413086,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,37,6044,TRUE,0.506949241444586,0.482835643851994,0.138056273755813,88.4177889534811,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,37,12051,TRUE,0.286356743327135,0.34129871061412,0.362134578599033,11.900146385953,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,37,18058,TRUE,0.205002977976357,0.214238316889967,0.345825227826324,5.7992324292477,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,37,24065,TRUE,0.553375516568701,0.659576624550423,123.067807495047,45.6574723149303,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,37,30072,TRUE,0.472002444139484,0.594648101087823,0.0430331458237279,53517.9332044186,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,38,6045,TRUE,0.582538871509289,0.573576176927646,0.0998511177588864,175.182270933657,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,38,12052,TRUE,0.000152613748399199,0.000189309884661883,0,3.43921165040229e-05,"dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,38,18059,TRUE,0.154663325088994,0.173171549527607,0.789644600515302,1.5053189311472,"","tmb",TRUE,FALSE,FALSE
"ri1",0.5,4,38,24066,TRUE,0.567831826343563,0.657675083606564,172.856519729602,45.6574804141209,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,38,30073,TRUE,0.486212108503983,0.608559132520842,0.0430331384176534,53517.9183945086,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,39,6046,TRUE,0.498559762833296,0.546773639772095,0.209266249449239,58.1577540321636,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,39,12053,TRUE,0.21639883261683,0.252058145532294,0.430579752766877,5.59632810700299,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,39,18060,TRUE,0.00017156682408093,0.000231918151388453,0,2.0183415927022e-05,"dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,39,24067,TRUE,0.534430731398116,0.651767704041721,0.0816496580881787,45.6575248587763,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,39,30074,TRUE,0.528986025866352,0.634251208792258,0.0430332499169609,53517.9525883322,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,40,6047,TRUE,0.413804714261931,0.413512253258304,0.333085473889497,21.6032478509029,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,40,12054,TRUE,0.273731688563943,0.291811892328057,0.244397304526864,13.4437501127611,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,40,18061,TRUE,0.000141159699950398,0.000174199547157996,0,1.00723750620091e-05,"dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,40,24068,TRUE,0.578067941363609,0.650421351329841,0.0816496580937881,45.6575212078553,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,40,30075,TRUE,0.481476231709177,0.604278916467116,0.0430347024505636,53517.939001891,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,41,6048,TRUE,0.483003360019525,0.523649480264107,0.199637374042186,64.8030827679073,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,41,12055,TRUE,0.146727489846572,0.180721366926351,1.31440208013478,0.886881426694231,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,41,18062,TRUE,1.05562278299073e-05,1.29120534958001e-05,0,-2.94539859169163e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,41,24069,TRUE,0.537313143135807,0.66616852394026,0.081649658094743,45.6574952105718,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,41,30076,TRUE,0.495582837705195,0.68156594517689,0.0430347143306698,53518.0350611952,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,42,6049,TRUE,0.000196603071130893,0.00020554769303217,0,2.48500150519249e-05,"dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.2,2,42,12056,TRUE,3.14020344006692e-05,3.61865531220208e-05,0,-0.00173067060268295,"dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,42,18063,TRUE,8.40834961753311e-06,9.32260650240806e-06,0,-2.87673174170777e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,42,24070,TRUE,0.55880761798164,0.656925273524721,162.42781157065,45.6574793107259,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,42,30077,TRUE,0.455521907583573,0.592619063140595,0.0430343727048434,53517.9350492223,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,43,6050,TRUE,0.604698758548838,0.6400739118405,0.0744204423511833,426.873397398518,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,43,12057,TRUE,0.120890396109633,0.136886213523305,2.32449816645544,0.335808936148624,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,43,18064,TRUE,0.000201699574227161,0.000238899096656512,0,-1.20657300612947e-05,"dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,43,24071,TRUE,0.529302565454219,0.661732002322254,812.522060130036,45.6574883629049,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,43,30078,TRUE,0.488941209750065,0.683898652538225,0.0430332399578897,53517.9686263421,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,44,6051,TRUE,0.505297997300118,0.49455130632645,0.189755588933629,47.4793361151982,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,44,12058,TRUE,0.308445852979938,0.343288639226364,0.215724991652591,20.7675022494254,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,44,18065,TRUE,9.6975885813028e-06,1.10948546310474e-05,0,-2.88628143607639e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,44,24072,TRUE,0.550163103340332,0.636112065841645,142.156484041571,45.6574764298809,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,44,30079,TRUE,0.514680500636587,0.716672774754291,0.0430359562514587,53518.066547604,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,45,6052,TRUE,0.526189511770357,0.557295275671719,0.182369942581918,66.0099327344159,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,45,12059,TRUE,0.167993129170546,0.191247376306893,0.741674363441532,2.05270034185145,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,45,18066,TRUE,5.80900106335681e-06,6.53015919573408e-06,0,-1.32149580167606e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,45,24073,TRUE,0.58184631916704,0.665534728327609,179.646063158225,45.6574810314855,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,45,30080,TRUE,0.484673133593633,0.641759564783522,0.043033175779096,53517.9436988059,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,46,6053,TRUE,0.504075574530389,0.563111335459451,0.180206471506288,75.9527091931074,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,46,12060,TRUE,0.226454113844298,0.258924323232128,0.492174961839572,5.70373781517219,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,46,18067,TRUE,0.170838217348923,0.198145868776862,0.669937287379189,2.08290867669245,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,46,24074,TRUE,0.579843703343822,0.672191088030903,1351.91625375421,45.657488603569,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,46,30081,TRUE,0.466238375926808,0.596131762635631,0.0430450274896774,53517.9147838928,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,47,6054,TRUE,0.534926783728019,0.531752464303041,0.115821673319776,153.336359980421,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,47,12061,TRUE,0.128891184358736,0.155948226418118,0.997373795128055,0.707271327777335,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,47,18068,TRUE,0.149401854311687,0.181178532319174,1.07788286013923,0.901260907786536,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,47,24075,TRUE,0.52907719935028,0.656903848818311,255.937554565341,45.6574849419223,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,47,30082,TRUE,0.517605598928722,0.687777044851346,0.0430342362360355,53517.9885817959,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,48,6055,TRUE,0.57224657201023,0.641849422234003,0.0989394017866971,232.465993141407,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,48,12062,TRUE,8.95845540073233e-06,1.05291237409651e-05,0,-1.40153133543208e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,48,18069,TRUE,0.191156187895165,0.220163660634246,0.409305775290265,4.96222874700857,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,48,24076,TRUE,0.559159372296227,0.663992076041379,91.5959316102799,45.657459088948,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,48,30083,TRUE,0.421273506403192,0.524161838880424,0.0430332459939265,53517.9139840045,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,49,6056,TRUE,0.466266357823917,0.459095590100184,0.21567026910968,35.5555931962684,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,49,12063,TRUE,7.41164897035574e-05,8.07869583437944e-05,0,7.97779966887902e-06,"dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,49,18070,TRUE,0.000155131970730457,0.000189491601120659,0,1.89601223610225e-05,"dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,49,24077,TRUE,0.549707092550417,0.664722304206386,147.271274491362,45.6574772699973,"","tmb",FALSE,FALSE,FALSE
