"family","design","disp","cell","rep","seed","ok","logdisp","inv_sqrt","se_logdisp","ll","ll_limit","push","held","how","se_ratio_x","draws_finite","limit_ll","push_down"
"beta","ar1",20,10,43,79233,TRUE,2.89940434548955,0.234640159923209,0.19886092635309,132.822588407539,NA,134.439279977513,"","recomputed",NA,NA,FALSE,FALSE
"beta","ri",200,11,43,87152,TRUE,5.38503257343358,0.0677103461863922,0.0858956148693397,530.093446133386,NA,2176.72232452104,"","tmb",NA,NA,FALSE,FALSE
"beta","ri",20,12,43,95071,TRUE,3.0098705748346,0.222031661609321,0.0845014810798962,217.922507149494,NA,2222.02119868334,"","tmb",NA,NA,FALSE,FALSE
"nbinom","ar1",Inf,1,44,7963,TRUE,22.0722293533425,1.61092860867363e-05,1.53852465648845,-632.809761133353,-632.809761167503,-3.05612957163248e-09,"g","boundary",NA,NA,TRUE,TRUE
"nbinom","ar1",50,2,44,15882,TRUE,17.719042620668,0.000142023032851919,81.1186421486642,-568.207303252735,-568.207302783649,-4.04744810111879e-07,"","recomputed",NA,NA,TRUE,TRUE
"nbinom","ar1",5,3,44,23801,TRUE,17.4283831009135,0.000164238396170867,13.5019250522097,-622.724412443045,-622.724410880161,-3.65252049050468e-07,"","none",NA,NA,TRUE,TRUE
"nbinom","ar1",1,4,44,31720,TRUE,-0.0466824884501622,1.02361578292981,0.227313705172979,-643.33536544714,-645.777114454003,69.8563119631779,"","tmb",NA,NA,FALSE,FALSE
"nbinom","ri",Inf,5,44,39639,TRUE,18.4898684676455,9.65997665106488e-05,13.8389895599398,-495.211341610905,-495.211341063059,-5.20576179496857e-07,"","tmb",NA,NA,TRUE,TRUE
"nbinom","ri",50,6,44,47558,TRUE,3.99846182681544,0.135439407823692,1.84668554078046,-535.840659492507,-536.007638439107,0.149906876514251,"","tmb",NA,NA,FALSE,FALSE
"nbinom","ri",5,7,44,55477,TRUE,1.54066321303847,0.462859555613596,0.263544438854121,-564.806313046955,-580.381738319189,13.3983925771906,"","tmb",NA,NA,FALSE,FALSE
"beta","ar1",10000,8,44,63396,TRUE,17.3182840469753,0.00017353313040084,15.3521012546221,211.542748401593,NA,5.72676735828281e-05,"","tmb",NA,NA,TRUE,TRUE
"beta","ar1",200,9,44,71315,TRUE,17.4516425716975,0.0001623394108339,0,200.372298386395,NA,0.000171540432802431,"g","boundary",NA,NA,TRUE,TRUE
"beta","ar1",20,10,44,79234,TRUE,2.87103300763603,0.237992408276333,0.207944672458428,141.09615208888,NA,167.182935987915,"","recomputed",NA,NA,FALSE,FALSE
"beta","ri",200,11,44,87153,TRUE,5.3987687834361,0.0672468977471548,0.0859062055748549,531.477581301009,NA,2176.48266519782,"","tmb",NA,NA,FALSE,FALSE
"beta","ri",20,12,44,95072,TRUE,2.92913253901455,0.231178238787018,0.0842609343694267,208.300532434689,NA,2229.42729353146,"","tmb",NA,NA,FALSE,FALSE
"nbinom","ar1",Inf,1,45,7964,TRUE,17.3403007680688,0.000171633291376865,31.782701791262,-653.701193480922,-653.701193246467,-2.66628489953291e-07,"","none",NA,NA,TRUE,TRUE
"nbinom","ar1",50,2,45,15883,TRUE,15.7154794585336,0.00038674703721408,NA,-615.223231277973,-615.223230149853,-1.10856717583374e-06,"","none",NA,NA,TRUE,TRUE
"nbinom","ar1",5,3,45,23802,TRUE,17.9981560970697,0.000123523634401321,NA,-574.556870740823,-574.556870642668,-1.17367449092853e-07,"","none",NA,NA,TRUE,TRUE
"nbinom","ar1",1,4,45,31721,TRUE,0.275584744038933,0.871279574985572,0.318553377297458,-635.857519297203,-636.773265646414,22.5998736110207,"","recomputed",NA,NA,FALSE,FALSE
"nbinom","ri",Inf,5,45,39640,TRUE,21.0786955773203,2.64739907344338e-05,16.0698199785831,-504.73980966456,-504.739809643778,-1.96095584215072e-08,"","tmb",NA,NA,TRUE,TRUE
"nbinom","ri",50,6,45,47559,TRUE,3.96501404721012,0.137723528005586,1.90661398984041,-548.994139853992,-549.149120617124,0.14019110149593,"","tmb",NA,NA,FALSE,FALSE
"nbinom","ri",5,7,45,55478,TRUE,1.54358136308103,0.462184701248939,0.33466704514643,-516.867249013385,-525.250636646316,7.26411428736026,"","tmb",NA,NA,FALSE,FALSE
"beta","ar1",10000,8,45,63397,TRUE,17.357036247182,0.000170203100771672,NA,222.033930543082,NA,9.56555313678109e-05,"","none",NA,NA,TRUE,TRUE
"beta","ar1",200,9,45,71316,TRUE,17.4723079448512,0.00016067064484768,12.5732030554434,220.547841482736,NA,0.000157704466801079,"","tmb",NA,NA,TRUE,TRUE
"beta","ar1",20,10,45,79235,TRUE,3.04183585173583,0.218511217767368,0.305105916104175,119.43121738996,NA,72.0984103432197,"","recomputed",NA,NA,FALSE,FALSE
"beta","ri",200,11,45,87154,TRUE,5.36428816627611,0.0684163065345724,0.0858965006307054,526.474624431484,NA,2176.95908791922,"","tmb",NA,NA,FALSE,FALSE
"beta","ri",20,12,45,95073,TRUE,2.93450389018168,0.230558202017148,0.0843658597618096,206.181648919599,NA,2227.55043467003,"","tmb",NA,NA,FALSE,FALSE
"nbinom","ar1",Inf,1,46,7965,TRUE,17.1210142419874,0.000191522144109218,14.2187017977956,-618.480957232609,-618.480957100363,-1.26025611280056e-07,"","tmb",NA,NA,TRUE,TRUE
"nbinom","ar1",50,2,46,15884,TRUE,16.6883084294796,0.000237782488807319,35.4807594119022,-616.369215625529,-616.369215035478,-5.68548784940504e-07,"","none",NA,NA,TRUE,TRUE
"nbinom","ar1",5,3,46,23803,TRUE,1.01345354359814,0.602464358249762,0.458608661671927,-638.622353940652,-639.499243150478,10.3018384866808,"","tmb",NA,NA,FALSE,FALSE
"nbinom","ar1",1,4,46,31722,TRUE,-0.204481878382081,1.10765031595111,0.239266184028733,-580.598872268682,-579.640246782106,48.8100111665925,"","tmb",NA,NA,TRUE,FALSE
"nbinom","ri",Inf,5,46,39641,TRUE,3.67672500690923,0.159077702135908,1.20518299796298,-552.380565078303,-552.788605957372,0.366732955017483,"","tmb",NA,NA,FALSE,FALSE
"nbinom","ri",50,6,46,47560,TRUE,21.6100754273947,2.02969949742893e-05,NA,-488.661939190214,-488.661939188824,6.99856173014268e-10,"","none",NA,NA,TRUE,TRUE
