"family","design","disp","cell","rep","seed","ok","logdisp","inv_sqrt","se_logdisp","ll","ll_limit","push","held","how","se_ratio_x","draws_finite","limit_ll","push_down"
"nbinom","ar1",5,3,38,23795,TRUE,14.8772521256619,0.00058809264507181,0,-665.53617982961,-665.510610020235,-9.45532747209654e-07,"g,dispersion","boundary",0.999506778103653,TRUE,TRUE,TRUE
"nbinom","ar1",1,4,38,31714,TRUE,0.0657538534591978,0.967657645051768,0.257407282255711,-615.251090149404,-615.605827253038,46.0215123577741,"","tmb",0.991408964328606,TRUE,FALSE,FALSE
"nbinom","ri",Inf,5,38,39633,TRUE,3.11706259280349,0.210444925556894,0.77137546114968,-540.189121114568,-541.288796620754,0.986868589797609,"","tmb",1.08341521541652,TRUE,FALSE,FALSE
"nbinom","ri",50,6,38,47552,TRUE,3.41508890021927,0.181310463326473,1.37230686334317,-481.818491002567,-482.125189947519,0.276417723308214,"","tmb",1.0352603237388,TRUE,FALSE,FALSE
"nbinom","ri",5,7,38,55471,TRUE,1.90643894288484,0.385497923909347,0.392128145767545,-536.247487201112,-542.614628948607,5.46325832896099,"","tmb",1.21282930529924,TRUE,FALSE,FALSE
"beta","ar1",10000,8,38,63390,TRUE,17.0675276129169,0.000196713184477848,0,208.529481303543,NA,0.000184632726359268,"g,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",200,9,38,71309,TRUE,21.2296119580263,2.45498213922947e-05,1.30746803728861,222.458852949047,NA,0.0106768170753639,"","tmb",NA,TRUE,FALSE,FALSE
"beta","ar1",20,10,38,79228,TRUE,2.88756083104385,0.236033764205636,0.270701367334883,121.03817152432,NA,100.642963578005,"g","boundary",NA,TRUE,FALSE,FALSE
"beta","ri",200,11,38,87147,TRUE,5.24209487591511,0.072726646268518,0.0858649584477626,513.63426499514,NA,2177.58073970609,"","tmb",NA,TRUE,FALSE,FALSE
"beta","ri",20,12,38,95066,TRUE,3.01717954784689,0.221221730740152,0.0844257910123677,217.491168053348,NA,2223.94821805215,"","tmb",NA,TRUE,FALSE,FALSE
"nbinom","ar1",Inf,1,39,7958,TRUE,18.4510505434238,9.84929809504185e-05,0,-618.016167744463,-618.016167604367,-1.63386971507862e-07,"g,dispersion","boundary",1.00000000462488,TRUE,TRUE,TRUE
"nbinom","ar1",50,2,39,15877,TRUE,1.67908445810604,0.431908193204499,0.550321721799905,-661.306617325457,-662.41766817901,4.97592988242604,"g","boundary",1.03677640785472,TRUE,FALSE,FALSE
"nbinom","ar1",5,3,39,23796,TRUE,20.5274079071457,3.48762682262738e-05,0,-625.237773407056,-625.237773400221,-6.17058049101615e-09,"dispersion","boundary",0.999999664958151,TRUE,TRUE,TRUE
"nbinom","ar1",1,4,39,31715,TRUE,0.0882175996303248,0.956849846723073,0.276735754294433,-646.700691537417,-648.865715854789,34.7320939904683,"g","boundary",1.03192362345053,TRUE,FALSE,FALSE
"nbinom","ri",Inf,5,39,39634,TRUE,17.2728547774013,0.000177519980586291,0,-494.650110358444,-494.650109621082,-7.01002193181921e-07,"dispersion","boundary",1.00000001927676,TRUE,TRUE,TRUE
"nbinom","ri",50,6,39,47553,TRUE,2.7631891879395,0.251177707094345,0.702882730486799,-530.78367185924,-532.102723438518,1.17573530952484,"","tmb",1.09899134685119,TRUE,FALSE,FALSE
"nbinom","ri",5,7,39,55472,TRUE,1.25616709885403,0.5336134655412,0.223511138992248,-596.688947438141,-624.241698397873,23.1129962613227,"","tmb",1.38272401928007,TRUE,FALSE,FALSE
"beta","ar1",10000,8,39,63391,TRUE,16.5544770215621,0.000254238307884571,0,198.452964358781,NA,-3.53993068529235e-05,"g,ar,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",200,9,39,71310,TRUE,18.426074969177,9.9730652132813e-05,0,193.830339380654,NA,1.73577886926068e-05,"g,ar,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",20,10,39,79229,TRUE,2.92032824804586,0.232198162305748,0.232436232760781,132.344509943167,NA,122.773600989409,"","tmb",NA,TRUE,FALSE,FALSE
"beta","ri",200,11,39,87148,TRUE,5.35071315048661,0.0688822623056523,0.0858988876281609,525.130034614058,NA,2176.78617763002,"","tmb",NA,TRUE,FALSE,FALSE
"beta","ri",20,12,39,95067,TRUE,3.11829894785836,0.210314873434942,0.0845752573889492,232.792157460042,NA,2218.44109540519,"","tmb",NA,TRUE,FALSE,FALSE
